ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8951001,10/31/2015,FCS,San Diego,Stetson,RUSHING,Matthew,Cecil,ATT,10
8951002,10/31/2015,FCS,San Diego,Stetson,RUSHING,Matthew,Cecil,YDS,91
8951003,10/31/2015,FCS,San Diego,Stetson,RUSHING,Matthew,Cecil,TD,1
8951004,10/31/2015,FCS,San Diego,Stetson,RUSHING,Matthew,Cecil,LONG,45
8951005,10/31/2015,FCS,San Diego,Stetson,RUSHING,Blake,Martin,ATT,9
8951006,10/31/2015,FCS,San Diego,Stetson,RUSHING,Blake,Martin,YDS,37
8951007,10/31/2015,FCS,San Diego,Stetson,RUSHING,Blake,Martin,TD,1
8951008,10/31/2015,FCS,San Diego,Stetson,RUSHING,Blake,Martin,LONG,20
8951009,10/31/2015,FCS,San Diego,Stetson,RUSHING,Chris,Campano,ATT,3
8951010,10/31/2015,FCS,San Diego,Stetson,RUSHING,Chris,Campano,YDS,32
8951011,10/31/2015,FCS,San Diego,Stetson,RUSHING,Chris,Campano,TD,2
8951012,10/31/2015,FCS,San Diego,Stetson,RUSHING,Chris,Campano,LONG,20
8951013,10/31/2015,FCS,San Diego,Stetson,RUSHING,Jereke,Armstrong,ATT,6
8951014,10/31/2015,FCS,San Diego,Stetson,RUSHING,Jereke,Armstrong,YDS,23
8951015,10/31/2015,FCS,San Diego,Stetson,RUSHING,Jereke,Armstrong,TD,0
8951016,10/31/2015,FCS,San Diego,Stetson,RUSHING,Jereke,Armstrong,LONG,12
8951017,10/31/2015,FCS,San Diego,Stetson,RUSHING,Chris,Willson,ATT,1
8951018,10/31/2015,FCS,San Diego,Stetson,RUSHING,Chris,Willson,YDS,16
8951019,10/31/2015,FCS,San Diego,Stetson,RUSHING,Chris,Willson,TD,0
8951020,10/31/2015,FCS,San Diego,Stetson,RUSHING,Chris,Willson,LONG,16
8951021,10/31/2015,FCS,San Diego,Stetson,RUSHING,Dallas,Kessman,ATT,2
8951022,10/31/2015,FCS,San Diego,Stetson,RUSHING,Dallas,Kessman,YDS,5
8951023,10/31/2015,FCS,San Diego,Stetson,RUSHING,Dallas,Kessman,TD,0
8951024,10/31/2015,FCS,San Diego,Stetson,RUSHING,Dallas,Kessman,LONG,3
8951025,10/31/2015,FCS,San Diego,Stetson,RUSHING,Trevor,Barney,ATT,1
8951026,10/31/2015,FCS,San Diego,Stetson,RUSHING,Trevor,Barney,YDS,3
8951027,10/31/2015,FCS,San Diego,Stetson,RUSHING,Trevor,Barney,TD,0
8951028,10/31/2015,FCS,San Diego,Stetson,RUSHING,Trevor,Barney,LONG,3
8951029,10/31/2015,FCS,San Diego,Stetson,RUSHING,Anthony,Lawrence,ATT,3
8951030,10/31/2015,FCS,San Diego,Stetson,RUSHING,Anthony,Lawrence,YDS,-16
8951031,10/31/2015,FCS,San Diego,Stetson,RUSHING,Anthony,Lawrence,TD,0
8951032,10/31/2015,FCS,San Diego,Stetson,RUSHING,Anthony,Lawrence,LONG,0
8951033,10/31/2015,FCS,San Diego,Stetson,PASSING,Anthony,Lawrence,CP-ATT-INT,20-28-0
8951034,10/31/2015,FCS,San Diego,Stetson,PASSING,Anthony,Lawrence,YDS,453
8951035,10/31/2015,FCS,San Diego,Stetson,PASSING,Anthony,Lawrence,TD,3
8951036,10/31/2015,FCS,San Diego,Stetson,PASSING,Anthony,Lawrence,LONG,76
8951037,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Brian,Riley,REC,6
8951038,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Brian,Riley,YDS,177
8951039,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Brian,Riley,TD,1
8951040,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Brian,Riley,LONG,54
8951041,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Justin,Priest,REC,4
8951042,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Justin,Priest,YDS,103
8951043,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Justin,Priest,TD,0
8951044,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Justin,Priest,LONG,48
8951045,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Jereke,Armstrong,REC,1
8951046,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Jereke,Armstrong,YDS,76
8951047,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Jereke,Armstrong,TD,1
8951048,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Jereke,Armstrong,LONG,76
8951049,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Ross,Dwelley,REC,7
8951050,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Ross,Dwelley,YDS,68
8951051,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Ross,Dwelley,TD,0
8951052,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Ross,Dwelley,LONG,24
8951053,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Trevor,Barney,REC,1
8951054,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Trevor,Barney,YDS,25
8951055,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Trevor,Barney,TD,0
8951056,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Trevor,Barney,LONG,25
8951057,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Dallas,Kessman,REC,1
8951058,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Dallas,Kessman,YDS,4
8951059,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Dallas,Kessman,TD,1
8951060,10/31/2015,FCS,San Diego,Stetson,RECEIVING,Dallas,Kessman,LONG,4
8951061,10/31/2015,FCS,San Diego,Stetson,KICKING,Jack,Flatau,FG-FGA,0/1
8951062,10/31/2015,FCS,San Diego,Stetson,KICKING,Jack,Flatau,LONG,0
8951063,10/31/2015,FCS,San Diego,Stetson,KICKING,Jack,Flatau,XP,5
8951064,10/31/2015,FCS,San Diego,Stetson,KICKING,Jack,Flatau,PTS,5
8951065,10/31/2015,FCS,San Diego,Stetson,PUNTING,Ryan,Belden,NO,5
8951066,10/31/2015,FCS,San Diego,Stetson,PUNTING,Ryan,Belden,YDS,195
8951067,10/31/2015,FCS,San Diego,Stetson,PUNTING,Ryan,Belden,AVG,39.0
8951068,10/31/2015,FCS,San Diego,Stetson,PUNTING,Ryan,Belden,LONG,42
8951069,10/31/2015,FCS,San Diego,Stetson,PUNT RETURNS,Jacob,Arnell,NO,3
8951070,10/31/2015,FCS,San Diego,Stetson,PUNT RETURNS,Jacob,Arnell,YDS,13
8951071,10/31/2015,FCS,San Diego,Stetson,PUNT RETURNS,Jacob,Arnell,AVG,4.3
8951072,10/31/2015,FCS,San Diego,Stetson,PUNT RETURNS,Jacob,Arnell,LONG,7
8951073,10/31/2015,FCS,San Diego,Stetson,KICK RETURNS,Jacob,Arnell,NO,1
8951074,10/31/2015,FCS,San Diego,Stetson,KICK RETURNS,Jacob,Arnell,YDS,28
8951075,10/31/2015,FCS,San Diego,Stetson,KICK RETURNS,Jacob,Arnell,AVG,28.0
8951076,10/31/2015,FCS,San Diego,Stetson,KICK RETURNS,Jacob,Arnell,LONG,28
8951077,10/31/2015,FCS,Stetson,San Diego,RUSHING,Ryan,Tentler,ATT,12
8951078,10/31/2015,FCS,Stetson,San Diego,RUSHING,Ryan,Tentler,YDS,105
8951079,10/31/2015,FCS,Stetson,San Diego,RUSHING,Ryan,Tentler,TD,1
8951080,10/31/2015,FCS,Stetson,San Diego,RUSHING,Ryan,Tentler,LONG,57
8951081,10/31/2015,FCS,Stetson,San Diego,RUSHING,Arkee,Brown,ATT,8
8951082,10/31/2015,FCS,Stetson,San Diego,RUSHING,Arkee,Brown,YDS,41
8951083,10/31/2015,FCS,Stetson,San Diego,RUSHING,Arkee,Brown,TD,0
8951084,10/31/2015,FCS,Stetson,San Diego,RUSHING,Arkee,Brown,LONG,14
8951085,10/31/2015,FCS,Stetson,San Diego,RUSHING,Cole,Mazza,ATT,9
8951086,10/31/2015,FCS,Stetson,San Diego,RUSHING,Cole,Mazza,YDS,24
8951087,10/31/2015,FCS,Stetson,San Diego,RUSHING,Cole,Mazza,TD,0
8951088,10/31/2015,FCS,Stetson,San Diego,RUSHING,Cole,Mazza,LONG,12
8951089,10/31/2015,FCS,Stetson,San Diego,RUSHING,A.J.,Washington,ATT,1
8951090,10/31/2015,FCS,Stetson,San Diego,RUSHING,A.J.,Washington,YDS,3
8951091,10/31/2015,FCS,Stetson,San Diego,RUSHING,A.J.,Washington,TD,0
8951092,10/31/2015,FCS,Stetson,San Diego,RUSHING,A.J.,Washington,LONG,3
8951093,10/31/2015,FCS,Stetson,San Diego,RUSHING,Jason,Willix,ATT,2
8951094,10/31/2015,FCS,Stetson,San Diego,RUSHING,Jason,Willix,YDS,3
8951095,10/31/2015,FCS,Stetson,San Diego,RUSHING,Jason,Willix,TD,0
8951096,10/31/2015,FCS,Stetson,San Diego,RUSHING,Jason,Willix,LONG,3
8951097,10/31/2015,FCS,Stetson,San Diego,RUSHING,Jerami,Singleton,ATT,3
8951098,10/31/2015,FCS,Stetson,San Diego,RUSHING,Jerami,Singleton,YDS,1
8951099,10/31/2015,FCS,Stetson,San Diego,RUSHING,Jerami,Singleton,TD,0
8951100,10/31/2015,FCS,Stetson,San Diego,RUSHING,Jerami,Singleton,LONG,2
8951101,10/31/2015,FCS,Stetson,San Diego,PASSING,Ryan,Tentler,CP-ATT-INT,13-26-0
8951102,10/31/2015,FCS,Stetson,San Diego,PASSING,Ryan,Tentler,YDS,89
8951103,10/31/2015,FCS,Stetson,San Diego,PASSING,Ryan,Tentler,TD,1
8951104,10/31/2015,FCS,Stetson,San Diego,PASSING,Ryan,Tentler,LONG,20
8951105,10/31/2015,FCS,Stetson,San Diego,PASSING,Colin,McGovern,CP-ATT-INT,3-4-0
8951106,10/31/2015,FCS,Stetson,San Diego,PASSING,Colin,McGovern,YDS,14
8951107,10/31/2015,FCS,Stetson,San Diego,PASSING,Colin,McGovern,TD,0
8951108,10/31/2015,FCS,Stetson,San Diego,PASSING,Colin,McGovern,LONG,7
8951109,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Ja'Vonta,Swinton,REC,7
8951110,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Ja'Vonta,Swinton,YDS,31
8951111,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Ja'Vonta,Swinton,TD,0
8951112,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Ja'Vonta,Swinton,LONG,17
8951113,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Chris,Crawford,REC,1
8951114,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Chris,Crawford,YDS,20
8951115,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Chris,Crawford,TD,0
8951116,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Chris,Crawford,LONG,20
8951117,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Darian,Wright,REC,2
8951118,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Darian,Wright,YDS,19
8951119,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Darian,Wright,TD,0
8951120,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Darian,Wright,LONG,12
8951121,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Darius,McGriff,REC,1
8951122,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Darius,McGriff,YDS,11
8951123,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Darius,McGriff,TD,0
8951124,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Darius,McGriff,LONG,11
8951125,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Kegan,Moore,REC,1
8951126,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Kegan,Moore,YDS,9
8951127,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Kegan,Moore,TD,0
8951128,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Kegan,Moore,LONG,9
8951129,10/31/2015,FCS,Stetson,San Diego,RECEIVING,Cole,Mazza,REC,2
