ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
9072001,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Byran,Brower,ATT,5
9072002,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Byran,Brower,YDS,28
9072003,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Byran,Brower,TD,0
9072004,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Byran,Brower,LONG,8
9072005,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Harvey,Harris,ATT,7
9072006,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Harvey,Harris,YDS,21
9072007,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Harvey,Harris,TD,0
9072008,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Harvey,Harris,LONG,12
9072009,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Brandon,Eldemire,ATT,5
9072010,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Brandon,Eldemire,YDS,14
9072011,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Brandon,Eldemire,TD,0
9072012,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Brandon,Eldemire,LONG,6
9072013,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Marceles,Clash,ATT,1
9072014,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Marceles,Clash,YDS,6
9072015,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Marceles,Clash,TD,0
9072016,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Marceles,Clash,LONG,6
9072017,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,DeVon,Johnson,ATT,1
9072018,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,DeVon,Johnson,YDS,5
9072019,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,DeVon,Johnson,TD,0
9072020,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,DeVon,Johnson,LONG,5
9072021,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,De'Angelo,Ballard,ATT,6
9072022,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,De'Angelo,Ballard,YDS,5
9072023,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,De'Angelo,Ballard,TD,0
9072024,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,De'Angelo,Ballard,LONG,8
9072025,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Damion,May,ATT,12
9072026,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Damion,May,YDS,-6
9072027,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Damion,May,TD,0
9072028,11/14/2015,FCS,Alabama A&M,Southern Univ.,RUSHING,Damion,May,LONG,11
9072029,11/14/2015,FCS,Alabama A&M,Southern Univ.,PASSING,Damion,May,CP-ATT-INT,3-10-0
9072030,11/14/2015,FCS,Alabama A&M,Southern Univ.,PASSING,Damion,May,YDS,28
9072031,11/14/2015,FCS,Alabama A&M,Southern Univ.,PASSING,Damion,May,TD,1
9072032,11/14/2015,FCS,Alabama A&M,Southern Univ.,PASSING,Damion,May,LONG,11
9072033,11/14/2015,FCS,Alabama A&M,Southern Univ.,PASSING,De'Angelo,Ballard,CP-ATT-INT,1-2-0
9072034,11/14/2015,FCS,Alabama A&M,Southern Univ.,PASSING,De'Angelo,Ballard,YDS,9
9072035,11/14/2015,FCS,Alabama A&M,Southern Univ.,PASSING,De'Angelo,Ballard,TD,0
9072036,11/14/2015,FCS,Alabama A&M,Southern Univ.,PASSING,De'Angelo,Ballard,LONG,9
9072037,11/14/2015,FCS,Alabama A&M,Southern Univ.,RECEIVING,Jonathan,Dorsey,REC,2
9072038,11/14/2015,FCS,Alabama A&M,Southern Univ.,RECEIVING,Jonathan,Dorsey,YDS,20
9072039,11/14/2015,FCS,Alabama A&M,Southern Univ.,RECEIVING,Jonathan,Dorsey,TD,1
9072040,11/14/2015,FCS,Alabama A&M,Southern Univ.,RECEIVING,Jonathan,Dorsey,LONG,11
9072041,11/14/2015,FCS,Alabama A&M,Southern Univ.,RECEIVING,O'Darius,Williams,REC,2
9072042,11/14/2015,FCS,Alabama A&M,Southern Univ.,RECEIVING,O'Darius,Williams,YDS,17
9072043,11/14/2015,FCS,Alabama A&M,Southern Univ.,RECEIVING,O'Darius,Williams,TD,0
9072044,11/14/2015,FCS,Alabama A&M,Southern Univ.,RECEIVING,O'Darius,Williams,LONG,10
9072045,11/14/2015,FCS,Alabama A&M,Southern Univ.,KICKING,Nick,Carden,FG-FGA,0/0
9072046,11/14/2015,FCS,Alabama A&M,Southern Univ.,KICKING,Nick,Carden,LONG,-
9072047,11/14/2015,FCS,Alabama A&M,Southern Univ.,KICKING,Nick,Carden,XP,1
9072048,11/14/2015,FCS,Alabama A&M,Southern Univ.,KICKING,Nick,Carden,PTS,1
9072049,11/14/2015,FCS,Alabama A&M,Southern Univ.,PUNTING,Nick,Carden,NO,6
9072050,11/14/2015,FCS,Alabama A&M,Southern Univ.,PUNTING,Nick,Carden,YDS,230
9072051,11/14/2015,FCS,Alabama A&M,Southern Univ.,PUNTING,Nick,Carden,AVG,38.3
9072052,11/14/2015,FCS,Alabama A&M,Southern Univ.,PUNTING,Nick,Carden,LONG,50
9072053,11/14/2015,FCS,Alabama A&M,Southern Univ.,KICK RETURNS,Octayvius,Miles,NO,8
9072054,11/14/2015,FCS,Alabama A&M,Southern Univ.,KICK RETURNS,Octayvius,Miles,YDS,192
9072055,11/14/2015,FCS,Alabama A&M,Southern Univ.,KICK RETURNS,Octayvius,Miles,AVG,24.0
9072056,11/14/2015,FCS,Alabama A&M,Southern Univ.,KICK RETURNS,Octayvius,Miles,LONG,38
9072057,11/14/2015,FCS,Southern Univ.,Alabama A&M,RUSHING,Lenard,Tillery,ATT,12
9072058,11/14/2015,FCS,Southern Univ.,Alabama A&M,RUSHING,Lenard,Tillery,YDS,127
9072059,11/14/2015,FCS,Southern Univ.,Alabama A&M,RUSHING,Lenard,Tillery,TD,1
9072060,11/14/2015,FCS,Southern Univ.,Alabama A&M,RUSHING,Lenard,Tillery,LONG,39
9072061,11/14/2015,FCS,Southern Univ.,Alabama A&M,RUSHING,Malcolm,Crockett,ATT,14
9072062,11/14/2015,FCS,Southern Univ.,Alabama A&M,RUSHING,Malcolm,Crockett,YDS,99
9072063,11/14/2015,FCS,Southern Univ.,Alabama A&M,RUSHING,Malcolm,Crockett,TD,2
9072064,11/14/2015,FCS,Southern Univ.,Alabama A&M,RUSHING,Malcolm,Crockett,LONG,26
9072065,11/14/2015,FCS,Southern Univ.,Alabama A&M,RUSHING,Herbert,Edwards,ATT,7
9072066,11/14/2015,FCS,Southern Univ.,Alabama A&M,RUSHING,Herbert,Edwards,YDS,33
9072067,11/14/2015,FCS,Southern Univ.,Alabama A&M,RUSHING,Herbert,Edwards,TD,0
9072068,11/14/2015,FCS,Southern Univ.,Alabama A&M,RUSHING,Herbert,Edwards,LONG,16
