ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
9066001,11/14/2015,FCS,Columbia,Cornell,RUSHING,Cameron,Molina,ATT,30
9066002,11/14/2015,FCS,Columbia,Cornell,RUSHING,Cameron,Molina,YDS,180
9066003,11/14/2015,FCS,Columbia,Cornell,RUSHING,Cameron,Molina,TD,0
9066004,11/14/2015,FCS,Columbia,Cornell,RUSHING,Cameron,Molina,LONG,29
9066005,11/14/2015,FCS,Columbia,Cornell,RUSHING,Anders,Hill,ATT,9
9066006,11/14/2015,FCS,Columbia,Cornell,RUSHING,Anders,Hill,YDS,54
9066007,11/14/2015,FCS,Columbia,Cornell,RUSHING,Anders,Hill,TD,0
9066008,11/14/2015,FCS,Columbia,Cornell,RUSHING,Anders,Hill,LONG,19
9066009,11/14/2015,FCS,Columbia,Cornell,RUSHING,Skyler,Mornhinweg,ATT,3
9066010,11/14/2015,FCS,Columbia,Cornell,RUSHING,Skyler,Mornhinweg,YDS,10
9066011,11/14/2015,FCS,Columbia,Cornell,RUSHING,Skyler,Mornhinweg,TD,0
9066012,11/14/2015,FCS,Columbia,Cornell,RUSHING,Skyler,Mornhinweg,LONG,7
9066013,11/14/2015,FCS,Columbia,Cornell,RUSHING,Chris,Schroer,ATT,3
9066014,11/14/2015,FCS,Columbia,Cornell,RUSHING,Chris,Schroer,YDS,9
9066015,11/14/2015,FCS,Columbia,Cornell,RUSHING,Chris,Schroer,TD,0
9066016,11/14/2015,FCS,Columbia,Cornell,RUSHING,Chris,Schroer,LONG,7
9066017,11/14/2015,FCS,Columbia,Cornell,RUSHING,Cameron,Nizialek,ATT,1
9066018,11/14/2015,FCS,Columbia,Cornell,RUSHING,Cameron,Nizialek,YDS,4
9066019,11/14/2015,FCS,Columbia,Cornell,RUSHING,Cameron,Nizialek,TD,0
9066020,11/14/2015,FCS,Columbia,Cornell,RUSHING,Cameron,Nizialek,LONG,4
9066021,11/14/2015,FCS,Columbia,Cornell,RUSHING,Alan,Watson,ATT,1
9066022,11/14/2015,FCS,Columbia,Cornell,RUSHING,Alan,Watson,YDS,3
9066023,11/14/2015,FCS,Columbia,Cornell,RUSHING,Alan,Watson,TD,0
9066024,11/14/2015,FCS,Columbia,Cornell,RUSHING,Alan,Watson,LONG,3
9066025,11/14/2015,FCS,Columbia,Cornell,PASSING,Skyler,Mornhinweg,CP-ATT-INT,2-6-1
9066026,11/14/2015,FCS,Columbia,Cornell,PASSING,Skyler,Mornhinweg,YDS,29
9066027,11/14/2015,FCS,Columbia,Cornell,PASSING,Skyler,Mornhinweg,TD,0
9066028,11/14/2015,FCS,Columbia,Cornell,PASSING,Skyler,Mornhinweg,LONG,21
9066029,11/14/2015,FCS,Columbia,Cornell,PASSING,Anders,Hill,CP-ATT-INT,3-11-1
9066030,11/14/2015,FCS,Columbia,Cornell,PASSING,Anders,Hill,YDS,13
9066031,11/14/2015,FCS,Columbia,Cornell,PASSING,Anders,Hill,TD,0
9066032,11/14/2015,FCS,Columbia,Cornell,PASSING,Anders,Hill,LONG,7
9066033,11/14/2015,FCS,Columbia,Cornell,RECEIVING,John,Hunton,REC,1
9066034,11/14/2015,FCS,Columbia,Cornell,RECEIVING,John,Hunton,YDS,21
9066035,11/14/2015,FCS,Columbia,Cornell,RECEIVING,John,Hunton,TD,0
9066036,11/14/2015,FCS,Columbia,Cornell,RECEIVING,John,Hunton,LONG,21
9066037,11/14/2015,FCS,Columbia,Cornell,RECEIVING,Brandon,Krcilek,REC,1
9066038,11/14/2015,FCS,Columbia,Cornell,RECEIVING,Brandon,Krcilek,YDS,8
9066039,11/14/2015,FCS,Columbia,Cornell,RECEIVING,Brandon,Krcilek,TD,0
9066040,11/14/2015,FCS,Columbia,Cornell,RECEIVING,Brandon,Krcilek,LONG,8
9066041,11/14/2015,FCS,Columbia,Cornell,RECEIVING,Scooter,Hollis,REC,1
9066042,11/14/2015,FCS,Columbia,Cornell,RECEIVING,Scooter,Hollis,YDS,7
9066043,11/14/2015,FCS,Columbia,Cornell,RECEIVING,Scooter,Hollis,TD,0
