ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
9092001,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Jabari,Wilson,ATT,15
9092002,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Jabari,Wilson,YDS,59
9092003,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Jabari,Wilson,TD,0
9092004,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Jabari,Wilson,LONG,9
9092005,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Gage,Gubrud,ATT,11
9092006,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Gage,Gubrud,YDS,17
9092007,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Gage,Gubrud,TD,1
9092008,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Gage,Gubrud,LONG,14
9092009,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Malcolm,WilliamsJr.,ATT,3
9092010,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Malcolm,WilliamsJr.,YDS,13
9092011,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Malcolm,WilliamsJr.,TD,0
9092012,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Malcolm,WilliamsJr.,LONG,8
9092013,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Ashanti,Kindle,ATT,4
9092014,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Ashanti,Kindle,YDS,11
9092015,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Ashanti,Kindle,TD,0
9092016,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Ashanti,Kindle,LONG,5
9092017,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Rashad,Wadood,ATT,1
9092018,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Rashad,Wadood,YDS,6
9092019,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Rashad,Wadood,TD,0
9092020,11/14/2015,FCS,Eastern Wash.,Montana,RUSHING,Rashad,Wadood,LONG,6
