ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
9181001,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,James,Holland,ATT,23
9181002,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,James,Holland,YDS,95
9181003,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,James,Holland,TD,4
9181004,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,James,Holland,LONG,12
9181005,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,Jake,Melville,ATT,15
9181006,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,Jake,Melville,YDS,66
9181007,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,Jake,Melville,TD,0
9181008,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,Jake,Melville,LONG,19
9181009,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,Demetrius,Russell,ATT,8
9181010,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,Demetrius,Russell,YDS,21
9181011,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,Demetrius,Russell,TD,0
9181012,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,Demetrius,Russell,LONG,6
9181013,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,John,WilkinsIV,ATT,2
9181014,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,John,WilkinsIV,YDS,7
9181015,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,John,WilkinsIV,TD,0
9181016,11/28/2015,FCS,Colgate,New Hampshire,RUSHING,John,WilkinsIV,LONG,7
9181017,11/28/2015,FCS,Colgate,New Hampshire,PASSING,Jake,Melville,CP-ATT-INT,12-17-0
9181018,11/28/2015,FCS,Colgate,New Hampshire,PASSING,Jake,Melville,YDS,188
9181019,11/28/2015,FCS,Colgate,New Hampshire,PASSING,Jake,Melville,TD,0
9181020,11/28/2015,FCS,Colgate,New Hampshire,PASSING,Jake,Melville,LONG,33
9181021,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,John,Maddaluna,REC,3
9181022,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,John,Maddaluna,YDS,81
9181023,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,John,Maddaluna,TD,0
9181024,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,John,Maddaluna,LONG,33
9181025,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,Thomas,Ives,REC,2
9181026,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,Thomas,Ives,YDS,36
9181027,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,Thomas,Ives,TD,0
9181028,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,Thomas,Ives,LONG,31
9181029,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,Alex,Greenawalt,REC,3
9181030,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,Alex,Greenawalt,YDS,25
9181031,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,Alex,Greenawalt,TD,0
9181032,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,Alex,Greenawalt,LONG,11
9181033,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,John,Quazza,REC,2
9181034,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,John,Quazza,YDS,20
9181035,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,John,Quazza,TD,0
9181036,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,John,Quazza,LONG,11
9181037,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,James,Holland,REC,1
9181038,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,James,Holland,YDS,15
9181039,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,James,Holland,TD,0
9181040,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,James,Holland,LONG,15
9181041,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,Demetrius,Russell,REC,1
9181042,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,Demetrius,Russell,YDS,11
9181043,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,Demetrius,Russell,TD,0
9181044,11/28/2015,FCS,Colgate,New Hampshire,RECEIVING,Demetrius,Russell,LONG,11
