ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
9204001,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Cory,Avery,ATT,14
9204002,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Cory,Avery,YDS,81
9204003,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Cory,Avery,TD,0
9204004,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Cory,Avery,LONG,24
9204005,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Jalen,Overstreet,ATT,10
9204006,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Jalen,Overstreet,YDS,29
9204007,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Jalen,Overstreet,TD,0
9204008,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Jalen,Overstreet,LONG,15
9204009,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Jeremiah,Briscoe,ATT,5
9204010,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Jeremiah,Briscoe,YDS,8
9204011,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Jeremiah,Briscoe,TD,0
9204012,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Jeremiah,Briscoe,LONG,11
9204013,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Jared,Johnson,ATT,2
9204014,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Jared,Johnson,YDS,1
9204015,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Jared,Johnson,TD,0
9204016,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,Jared,Johnson,LONG,4
9204017,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,LaDarius,Brown,ATT,0
9204018,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,LaDarius,Brown,YDS,0
9204019,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,LaDarius,Brown,TD,1
9204020,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RUSHING,LaDarius,Brown,LONG,0
9204021,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PASSING,Jeremiah,Briscoe,CP-ATT-INT,13-42-1
9204022,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PASSING,Jeremiah,Briscoe,YDS,130
9204023,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PASSING,Jeremiah,Briscoe,TD,0
9204024,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PASSING,Jeremiah,Briscoe,LONG,27
9204025,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PASSING,Jared,Johnson,CP-ATT-INT,1-1-0
9204026,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PASSING,Jared,Johnson,YDS,10
9204027,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PASSING,Jared,Johnson,TD,0
9204028,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PASSING,Jared,Johnson,LONG,10
9204029,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Yedidiah,Louis,REC,10
9204030,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Yedidiah,Louis,YDS,103
9204031,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Yedidiah,Louis,TD,0
9204032,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Yedidiah,Louis,LONG,27
9204033,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Davion,Davis,REC,1
9204034,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Davion,Davis,YDS,17
9204035,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Davion,Davis,TD,0
9204036,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Davion,Davis,LONG,17
9204037,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Grant,Finney,REC,1
9204038,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Grant,Finney,YDS,12
9204039,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Grant,Finney,TD,0
9204040,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Grant,Finney,LONG,12
9204041,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,LaDarius,Brown,REC,1
9204042,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,LaDarius,Brown,YDS,10
9204043,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,LaDarius,Brown,TD,0
9204044,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,LaDarius,Brown,LONG,10
9204045,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Tyler,Scott,REC,1
9204046,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Tyler,Scott,YDS,-2
9204047,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Tyler,Scott,TD,0
9204048,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,RECEIVING,Tyler,Scott,LONG,-2
9204049,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICKING,Tre,Honshtein,FG-FGA,1/1
9204050,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICKING,Tre,Honshtein,LONG,51
9204051,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICKING,Tre,Honshtein,XP,1
9204052,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICKING,Tre,Honshtein,PTS,4
9204053,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PUNTING,Lachlan,Edwards,NO,8
9204054,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PUNTING,Lachlan,Edwards,YDS,358
9204055,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PUNTING,Lachlan,Edwards,AVG,44.8
9204056,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PUNTING,Lachlan,Edwards,LONG,58
9204057,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PUNT RETURNS,Yedidiah,Louis,NO,0
9204058,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PUNT RETURNS,Yedidiah,Louis,YDS,0
9204059,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PUNT RETURNS,Yedidiah,Louis,AVG,-
9204060,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PUNT RETURNS,Yedidiah,Louis,LONG,0
9204061,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PUNT RETURNS,Tyrel,Stokes,NO,1
9204062,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PUNT RETURNS,Tyrel,Stokes,YDS,-4
9204063,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PUNT RETURNS,Tyrel,Stokes,AVG,-
9204064,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,PUNT RETURNS,Tyrel,Stokes,LONG,-4
9204065,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Tyler,Scott,NO,3
9204066,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Tyler,Scott,YDS,31
9204067,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Tyler,Scott,AVG,10.3
9204068,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Tyler,Scott,LONG,13
9204069,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Davion,Davis,NO,1
9204070,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Davion,Davis,YDS,10
9204071,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Davion,Davis,AVG,10.0
9204072,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Davion,Davis,LONG,10
9204073,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Kiel,Heidman,NO,0
9204074,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Kiel,Heidman,YDS,0
9204075,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Kiel,Heidman,AVG,-
9204076,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Kiel,Heidman,LONG,0
9204077,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Hayden,Cagle,NO,1
9204078,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Hayden,Cagle,YDS,0
9204079,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Hayden,Cagle,AVG,-
9204080,12/19/2015,FCS,Sam Houston St.,Jacksonville St.,KICK RETURNS,Hayden,Cagle,LONG,0
9204081,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Troymaine,Pope,ATT,21
9204082,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Troymaine,Pope,YDS,181
9204083,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Troymaine,Pope,TD,2
9204084,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Troymaine,Pope,LONG,62
9204085,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Miles,Jones,ATT,15
9204086,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Miles,Jones,YDS,71
9204087,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Miles,Jones,TD,2
9204088,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Miles,Jones,LONG,16
9204089,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Christian,LeMay,ATT,5
9204090,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Christian,LeMay,YDS,44
9204091,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Christian,LeMay,TD,1
9204092,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Christian,LeMay,LONG,24
9204093,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Eli,Jenkins,ATT,13
9204094,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Eli,Jenkins,YDS,43
9204095,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Eli,Jenkins,TD,1
9204096,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Eli,Jenkins,LONG,10
9204097,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Bo,Billups,ATT,3
9204098,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Bo,Billups,YDS,18
9204099,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Bo,Billups,TD,0
9204100,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Bo,Billups,LONG,10
9204101,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Jarren,Johnson,ATT,2
9204102,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Jarren,Johnson,YDS,7
9204103,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Jarren,Johnson,TD,0
9204104,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,Jarren,Johnson,LONG,5
9204105,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,,Team,ATT,2
9204106,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,,Team,YDS,-4
9204107,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,,Team,TD,0
9204108,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RUSHING,,Team,LONG,-2
9204109,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PASSING,Eli,Jenkins,CP-ATT-INT,17-23-0
9204110,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PASSING,Eli,Jenkins,YDS,247
9204111,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PASSING,Eli,Jenkins,TD,2
9204112,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PASSING,Eli,Jenkins,LONG,35
9204113,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PASSING,Christian,LeMay,CP-ATT-INT,1-1-0
9204114,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PASSING,Christian,LeMay,YDS,32
9204115,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PASSING,Christian,LeMay,TD,0
9204116,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PASSING,Christian,LeMay,LONG,32
9204117,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Josh,Barge,REC,6
9204118,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Josh,Barge,YDS,121
9204119,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Josh,Barge,TD,0
9204120,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Josh,Barge,LONG,32
9204121,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Ruben,Gonzalez,REC,4
9204122,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Ruben,Gonzalez,YDS,65
9204123,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Ruben,Gonzalez,TD,2
9204124,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Ruben,Gonzalez,LONG,35
9204125,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Markis,Merrill,REC,4
9204126,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Markis,Merrill,YDS,37
9204127,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Markis,Merrill,TD,0
9204128,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Markis,Merrill,LONG,27
9204129,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Anthony,Johnson,REC,1
9204130,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Anthony,Johnson,YDS,32
9204131,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Anthony,Johnson,TD,0
9204132,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Anthony,Johnson,LONG,32
9204133,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Dalton,Screws,REC,2
9204134,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Dalton,Screws,YDS,19
9204135,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Dalton,Screws,TD,0
9204136,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Dalton,Screws,LONG,10
9204137,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Spencer,Goffigan,REC,1
9204138,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Spencer,Goffigan,YDS,5
9204139,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Spencer,Goffigan,TD,0
9204140,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,RECEIVING,Spencer,Goffigan,LONG,5
9204141,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICKING,Connor,Rouleau,FG-FGA,2/2
9204142,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICKING,Connor,Rouleau,LONG,36
9204143,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICKING,Connor,Rouleau,XP,7
9204144,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICKING,Connor,Rouleau,PTS,13
9204145,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICKING,Cade,Stinnett,FG-FGA,0/0
9204146,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICKING,Cade,Stinnett,LONG,-
9204147,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICKING,Cade,Stinnett,XP,1
9204148,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICKING,Cade,Stinnett,PTS,1
9204149,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PUNTING,Hamish,MacInnes,NO,4
9204150,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PUNTING,Hamish,MacInnes,YDS,168
9204151,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PUNTING,Hamish,MacInnes,AVG,42.0
9204152,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PUNTING,Hamish,MacInnes,LONG,49
9204153,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PUNT RETURNS,Josh,Barge,NO,2
9204154,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PUNT RETURNS,Josh,Barge,YDS,33
9204155,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PUNT RETURNS,Josh,Barge,AVG,16.5
9204156,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,PUNT RETURNS,Josh,Barge,LONG,33
9204157,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICK RETURNS,Lawon,DeBardelaben,NO,2
9204158,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICK RETURNS,Lawon,DeBardelaben,YDS,52
9204159,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICK RETURNS,Lawon,DeBardelaben,AVG,26.0
9204160,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICK RETURNS,Lawon,DeBardelaben,LONG,29
9204161,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICK RETURNS,Dalton,Campbell,NO,1
9204162,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICK RETURNS,Dalton,Campbell,YDS,0
9204163,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICK RETURNS,Dalton,Campbell,AVG,-
9204164,12/19/2015,FCS,Jacksonville St.,Sam Houston St.,KICK RETURNS,Dalton,Campbell,LONG,0
