ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8562001,9/12/2015,FCS,Marist,Georgetown,RUSHING,Michael,White,ATT,6
8562002,9/12/2015,FCS,Marist,Georgetown,RUSHING,Michael,White,YDS,24
8562003,9/12/2015,FCS,Marist,Georgetown,RUSHING,Michael,White,TD,0
8562004,9/12/2015,FCS,Marist,Georgetown,RUSHING,Michael,White,LONG,13
8562005,9/12/2015,FCS,Marist,Georgetown,RUSHING,Garrett,Clay,ATT,9
8562006,9/12/2015,FCS,Marist,Georgetown,RUSHING,Garrett,Clay,YDS,23
8562007,9/12/2015,FCS,Marist,Georgetown,RUSHING,Garrett,Clay,TD,0
8562008,9/12/2015,FCS,Marist,Georgetown,RUSHING,Garrett,Clay,LONG,6
8562009,9/12/2015,FCS,Marist,Georgetown,RUSHING,Marcellus,Calhoun,ATT,7
8562010,9/12/2015,FCS,Marist,Georgetown,RUSHING,Marcellus,Calhoun,YDS,22
8562011,9/12/2015,FCS,Marist,Georgetown,RUSHING,Marcellus,Calhoun,TD,0
8562012,9/12/2015,FCS,Marist,Georgetown,RUSHING,Marcellus,Calhoun,LONG,11
8562013,9/12/2015,FCS,Marist,Georgetown,RUSHING,Ed,Achziger,ATT,3
8562014,9/12/2015,FCS,Marist,Georgetown,RUSHING,Ed,Achziger,YDS,-1
8562015,9/12/2015,FCS,Marist,Georgetown,RUSHING,Ed,Achziger,TD,0
8562016,9/12/2015,FCS,Marist,Georgetown,RUSHING,Ed,Achziger,LONG,5
8562017,9/12/2015,FCS,Marist,Georgetown,RUSHING,Anthony,Francis,ATT,1
8562018,9/12/2015,FCS,Marist,Georgetown,RUSHING,Anthony,Francis,YDS,-3
8562019,9/12/2015,FCS,Marist,Georgetown,RUSHING,Anthony,Francis,TD,0
8562020,9/12/2015,FCS,Marist,Georgetown,RUSHING,Anthony,Francis,LONG,0
8562021,9/12/2015,FCS,Marist,Georgetown,PASSING,Michael,White,CP-ATT-INT,16-32-1
8562022,9/12/2015,FCS,Marist,Georgetown,PASSING,Michael,White,YDS,177
8562023,9/12/2015,FCS,Marist,Georgetown,PASSING,Michael,White,TD,1
8562024,9/12/2015,FCS,Marist,Georgetown,PASSING,Michael,White,LONG,38
8562025,9/12/2015,FCS,Marist,Georgetown,PASSING,Ed,Achziger,CP-ATT-INT,5-9-1
8562026,9/12/2015,FCS,Marist,Georgetown,PASSING,Ed,Achziger,YDS,16
8562027,9/12/2015,FCS,Marist,Georgetown,PASSING,Ed,Achziger,TD,0
8562028,9/12/2015,FCS,Marist,Georgetown,PASSING,Ed,Achziger,LONG,6
8562029,9/12/2015,FCS,Marist,Georgetown,PASSING,Anthony,Francis,CP-ATT-INT,1-3-0
8562030,9/12/2015,FCS,Marist,Georgetown,PASSING,Anthony,Francis,YDS,5
8562031,9/12/2015,FCS,Marist,Georgetown,PASSING,Anthony,Francis,TD,0
8562032,9/12/2015,FCS,Marist,Georgetown,PASSING,Anthony,Francis,LONG,5
8562033,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Lawrence,Dickens,REC,6
8562034,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Lawrence,Dickens,YDS,90
8562035,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Lawrence,Dickens,TD,0
8562036,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Lawrence,Dickens,LONG,38
8562037,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Garrett,Clay,REC,3
8562038,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Garrett,Clay,YDS,27
8562039,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Garrett,Clay,TD,0
8562040,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Garrett,Clay,LONG,20
8562041,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Matt,Tralli,REC,3
8562042,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Matt,Tralli,YDS,20
8562043,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Matt,Tralli,TD,0
8562044,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Matt,Tralli,LONG,10
8562045,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Malik,Simmons,REC,3
8562046,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Malik,Simmons,YDS,20
8562047,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Malik,Simmons,TD,0
8562048,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Malik,Simmons,LONG,11
8562049,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Joe,Jordan,REC,2
8562050,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Joe,Jordan,YDS,18
8562051,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Joe,Jordan,TD,0
8562052,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Joe,Jordan,LONG,16
8562053,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Dylan,Clay,REC,1
8562054,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Dylan,Clay,YDS,7
8562055,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Dylan,Clay,TD,1
8562056,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Dylan,Clay,LONG,7
8562057,9/12/2015,FCS,Marist,Georgetown,RECEIVING,Marcellus,Calhoun,REC,2
