ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
9521001,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Devin,Church,ATT,15
9521002,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Devin,Church,YDS,86
9521003,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Devin,Church,TD,0
9521004,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Devin,Church,LONG,22
9521005,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Korliss,Marshall,ATT,8
9521006,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Korliss,Marshall,YDS,18
9521007,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Korliss,Marshall,TD,0
9521008,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Korliss,Marshall,LONG,12
9521009,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Austin,Green,ATT,7
9521010,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Austin,Green,YDS,18
9521011,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Austin,Green,TD,0
9521012,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Austin,Green,LONG,8
9521013,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Christopher,Anderson,ATT,6
9521014,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Christopher,Anderson,YDS,15
9521015,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Christopher,Anderson,TD,1
9521016,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Christopher,Anderson,LONG,18
9521017,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Shawn,MitchellJr.,ATT,2
9521018,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Shawn,MitchellJr.,YDS,11
9521019,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Shawn,MitchellJr.,TD,0
9521020,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Shawn,MitchellJr.,LONG,8
9521021,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Dennis,Turner,ATT,1
9521022,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Dennis,Turner,YDS,6
9521023,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Dennis,Turner,TD,0
9521024,10/1/2016,FCS,Eastern Illinois,Southeast Mo. St.,RUSHING,Dennis,Turner,LONG,6
