ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
9687001,10/22/2016,FCS,Richmond,Elon,RUSHING,Deontez,Thompson,ATT,14
9687002,10/22/2016,FCS,Richmond,Elon,RUSHING,Deontez,Thompson,YDS,116
9687003,10/22/2016,FCS,Richmond,Elon,RUSHING,Deontez,Thompson,TD,1
9687004,10/22/2016,FCS,Richmond,Elon,RUSHING,Deontez,Thompson,LONG,39
9687005,10/22/2016,FCS,Richmond,Elon,RUSHING,David,Broadus,ATT,6
9687006,10/22/2016,FCS,Richmond,Elon,RUSHING,David,Broadus,YDS,37
9687007,10/22/2016,FCS,Richmond,Elon,RUSHING,David,Broadus,TD,0
9687008,10/22/2016,FCS,Richmond,Elon,RUSHING,David,Broadus,LONG,16
9687009,10/22/2016,FCS,Richmond,Elon,RUSHING,Jay,Palmer,ATT,3
9687010,10/22/2016,FCS,Richmond,Elon,RUSHING,Jay,Palmer,YDS,32
9687011,10/22/2016,FCS,Richmond,Elon,RUSHING,Jay,Palmer,TD,0
9687012,10/22/2016,FCS,Richmond,Elon,RUSHING,Jay,Palmer,LONG,15
9687013,10/22/2016,FCS,Richmond,Elon,RUSHING,Porter,Abell,ATT,2
9687014,10/22/2016,FCS,Richmond,Elon,RUSHING,Porter,Abell,YDS,3
9687015,10/22/2016,FCS,Richmond,Elon,RUSHING,Porter,Abell,TD,0
9687016,10/22/2016,FCS,Richmond,Elon,RUSHING,Porter,Abell,LONG,4
9687017,10/22/2016,FCS,Richmond,Elon,RUSHING,Caleb,Drake,ATT,1
9687018,10/22/2016,FCS,Richmond,Elon,RUSHING,Caleb,Drake,YDS,2
9687019,10/22/2016,FCS,Richmond,Elon,RUSHING,Caleb,Drake,TD,0
9687020,10/22/2016,FCS,Richmond,Elon,RUSHING,Caleb,Drake,LONG,2
9687021,10/22/2016,FCS,Richmond,Elon,RUSHING,James,Pavik,ATT,1
9687022,10/22/2016,FCS,Richmond,Elon,RUSHING,James,Pavik,YDS,1
9687023,10/22/2016,FCS,Richmond,Elon,RUSHING,James,Pavik,TD,1
9687024,10/22/2016,FCS,Richmond,Elon,RUSHING,James,Pavik,LONG,1
9687025,10/22/2016,FCS,Richmond,Elon,RUSHING,Kyle,Lauletta,ATT,3
9687026,10/22/2016,FCS,Richmond,Elon,RUSHING,Kyle,Lauletta,YDS,0
9687027,10/22/2016,FCS,Richmond,Elon,RUSHING,Kyle,Lauletta,TD,0
9687028,10/22/2016,FCS,Richmond,Elon,RUSHING,Kyle,Lauletta,LONG,5
9687029,10/22/2016,FCS,Richmond,Elon,RUSHING,,Team,ATT,2
9687030,10/22/2016,FCS,Richmond,Elon,RUSHING,,Team,YDS,-4
9687031,10/22/2016,FCS,Richmond,Elon,RUSHING,,Team,TD,0
9687032,10/22/2016,FCS,Richmond,Elon,RUSHING,,Team,LONG,0
9687033,10/22/2016,FCS,Richmond,Elon,PASSING,Kyle,Lauletta,CP-ATT-INT,18-30-0
9687034,10/22/2016,FCS,Richmond,Elon,PASSING,Kyle,Lauletta,YDS,223
9687035,10/22/2016,FCS,Richmond,Elon,PASSING,Kyle,Lauletta,TD,2
9687036,10/22/2016,FCS,Richmond,Elon,PASSING,Kyle,Lauletta,LONG,27
9687037,10/22/2016,FCS,Richmond,Elon,PASSING,David,Broadus,CP-ATT-INT,1-3-0
9687038,10/22/2016,FCS,Richmond,Elon,PASSING,David,Broadus,YDS,7
9687039,10/22/2016,FCS,Richmond,Elon,PASSING,David,Broadus,TD,0
9687040,10/22/2016,FCS,Richmond,Elon,PASSING,David,Broadus,LONG,7
9687041,10/22/2016,FCS,Richmond,Elon,RECEIVING,Brian,Brown,REC,8
9687042,10/22/2016,FCS,Richmond,Elon,RECEIVING,Brian,Brown,YDS,100
9687043,10/22/2016,FCS,Richmond,Elon,RECEIVING,Brian,Brown,TD,1
9687044,10/22/2016,FCS,Richmond,Elon,RECEIVING,Brian,Brown,LONG,27
9687045,10/22/2016,FCS,Richmond,Elon,RECEIVING,Garrett,Hudson,REC,2
9687046,10/22/2016,FCS,Richmond,Elon,RECEIVING,Garrett,Hudson,YDS,32
9687047,10/22/2016,FCS,Richmond,Elon,RECEIVING,Garrett,Hudson,TD,0
9687048,10/22/2016,FCS,Richmond,Elon,RECEIVING,Garrett,Hudson,LONG,25
9687049,10/22/2016,FCS,Richmond,Elon,RECEIVING,Jarmal,Bevels,REC,2
9687050,10/22/2016,FCS,Richmond,Elon,RECEIVING,Jarmal,Bevels,YDS,30
9687051,10/22/2016,FCS,Richmond,Elon,RECEIVING,Jarmal,Bevels,TD,0
9687052,10/22/2016,FCS,Richmond,Elon,RECEIVING,Jarmal,Bevels,LONG,19
9687053,10/22/2016,FCS,Richmond,Elon,RECEIVING,Deontez,Thompson,REC,2
9687054,10/22/2016,FCS,Richmond,Elon,RECEIVING,Deontez,Thompson,YDS,24
9687055,10/22/2016,FCS,Richmond,Elon,RECEIVING,Deontez,Thompson,TD,1
9687056,10/22/2016,FCS,Richmond,Elon,RECEIVING,Deontez,Thompson,LONG,13
9687057,10/22/2016,FCS,Richmond,Elon,RECEIVING,Tyler,Wilkins,REC,2
9687058,10/22/2016,FCS,Richmond,Elon,RECEIVING,Tyler,Wilkins,YDS,19
9687059,10/22/2016,FCS,Richmond,Elon,RECEIVING,Tyler,Wilkins,TD,0
9687060,10/22/2016,FCS,Richmond,Elon,RECEIVING,Tyler,Wilkins,LONG,13
9687061,10/22/2016,FCS,Richmond,Elon,RECEIVING,Dashon,Tibbs,REC,1
9687062,10/22/2016,FCS,Richmond,Elon,RECEIVING,Dashon,Tibbs,YDS,13
9687063,10/22/2016,FCS,Richmond,Elon,RECEIVING,Dashon,Tibbs,TD,0
9687064,10/22/2016,FCS,Richmond,Elon,RECEIVING,Dashon,Tibbs,LONG,13
9687065,10/22/2016,FCS,Richmond,Elon,RECEIVING,James,Pavik,REC,1
9687066,10/22/2016,FCS,Richmond,Elon,RECEIVING,James,Pavik,YDS,7
