ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
9763001,10/29/2016,FCS,Towson,Delaware,RUSHING,Deshaun,Wethington,ATT,7
9763002,10/29/2016,FCS,Towson,Delaware,RUSHING,Deshaun,Wethington,YDS,32
9763003,10/29/2016,FCS,Towson,Delaware,RUSHING,Deshaun,Wethington,TD,0
9763004,10/29/2016,FCS,Towson,Delaware,RUSHING,Deshaun,Wethington,LONG,14
9763005,10/29/2016,FCS,Towson,Delaware,RUSHING,Heath,Dahlgren,ATT,6
9763006,10/29/2016,FCS,Towson,Delaware,RUSHING,Heath,Dahlgren,YDS,25
9763007,10/29/2016,FCS,Towson,Delaware,RUSHING,Heath,Dahlgren,TD,0
9763008,10/29/2016,FCS,Towson,Delaware,RUSHING,Heath,Dahlgren,LONG,16
9763009,10/29/2016,FCS,Towson,Delaware,RUSHING,Shane,Simpson,ATT,12
9763010,10/29/2016,FCS,Towson,Delaware,RUSHING,Shane,Simpson,YDS,22
9763011,10/29/2016,FCS,Towson,Delaware,RUSHING,Shane,Simpson,TD,0
9763012,10/29/2016,FCS,Towson,Delaware,RUSHING,Shane,Simpson,LONG,7
9763013,10/29/2016,FCS,Towson,Delaware,RUSHING,Ellis,Knudson,ATT,4
9763014,10/29/2016,FCS,Towson,Delaware,RUSHING,Ellis,Knudson,YDS,-7
9763015,10/29/2016,FCS,Towson,Delaware,RUSHING,Ellis,Knudson,TD,0
9763016,10/29/2016,FCS,Towson,Delaware,RUSHING,Ellis,Knudson,LONG,4
9763017,10/29/2016,FCS,Towson,Delaware,PASSING,Ellis,Knudson,CP-ATT-INT,6-11-1
9763018,10/29/2016,FCS,Towson,Delaware,PASSING,Ellis,Knudson,YDS,83
9763019,10/29/2016,FCS,Towson,Delaware,PASSING,Ellis,Knudson,TD,0
9763020,10/29/2016,FCS,Towson,Delaware,PASSING,Ellis,Knudson,LONG,47
9763021,10/29/2016,FCS,Towson,Delaware,PASSING,Heath,Dahlgren,CP-ATT-INT,6-18-3
9763022,10/29/2016,FCS,Towson,Delaware,PASSING,Heath,Dahlgren,YDS,51
9763023,10/29/2016,FCS,Towson,Delaware,PASSING,Heath,Dahlgren,TD,0
9763024,10/29/2016,FCS,Towson,Delaware,PASSING,Heath,Dahlgren,LONG,15
9763025,10/29/2016,FCS,Towson,Delaware,RECEIVING,Christian,Summers,REC,3
9763026,10/29/2016,FCS,Towson,Delaware,RECEIVING,Christian,Summers,YDS,63
9763027,10/29/2016,FCS,Towson,Delaware,RECEIVING,Christian,Summers,TD,0
9763028,10/29/2016,FCS,Towson,Delaware,RECEIVING,Christian,Summers,LONG,47
9763029,10/29/2016,FCS,Towson,Delaware,RECEIVING,Andre,Dessenberg,REC,5
9763030,10/29/2016,FCS,Towson,Delaware,RECEIVING,Andre,Dessenberg,YDS,40
9763031,10/29/2016,FCS,Towson,Delaware,RECEIVING,Andre,Dessenberg,TD,0
9763032,10/29/2016,FCS,Towson,Delaware,RECEIVING,Andre,Dessenberg,LONG,15
9763033,10/29/2016,FCS,Towson,Delaware,RECEIVING,Sam,Gallahan,REC,2
9763034,10/29/2016,FCS,Towson,Delaware,RECEIVING,Sam,Gallahan,YDS,20
9763035,10/29/2016,FCS,Towson,Delaware,RECEIVING,Sam,Gallahan,TD,0
