ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
9925001,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Hunter,Taute,ATT,4
9925002,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Hunter,Taute,YDS,14
9925003,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Hunter,Taute,TD,1
9925004,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Hunter,Taute,LONG,6
9925005,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Brenden,Femiano,ATT,6
9925006,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Brenden,Femiano,YDS,12
9925007,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Brenden,Femiano,TD,1
9925008,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Brenden,Femiano,LONG,9
9925009,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Ryan,Black,ATT,4
9925010,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Ryan,Black,YDS,3
9925011,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Ryan,Black,TD,0
9925012,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Ryan,Black,LONG,4
9925013,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Dalton,Easton,ATT,8
9925014,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Dalton,Easton,YDS,3
9925015,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Dalton,Easton,TD,0
9925016,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Dalton,Easton,LONG,12
9925017,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Christian,Martey,ATT,1
9925018,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Christian,Martey,YDS,-3
9925019,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Christian,Martey,TD,0
9925020,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,Christian,Martey,LONG,0
9925021,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,,Team,ATT,2
9925022,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,,Team,YDS,-4
9925023,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,,Team,TD,0
9925024,11/19/2016,FCS,Bryant,Sacred Heart,RUSHING,,Team,LONG,0
9925025,11/19/2016,FCS,Bryant,Sacred Heart,PASSING,Dalton,Easton,CP-ATT-INT,22-36-1
9925026,11/19/2016,FCS,Bryant,Sacred Heart,PASSING,Dalton,Easton,YDS,391
9925027,11/19/2016,FCS,Bryant,Sacred Heart,PASSING,Dalton,Easton,TD,4
9925028,11/19/2016,FCS,Bryant,Sacred Heart,PASSING,Dalton,Easton,LONG,67
9925029,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Matt,Sewall,REC,8
9925030,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Matt,Sewall,YDS,136
9925031,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Matt,Sewall,TD,2
9925032,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Matt,Sewall,LONG,50
9925033,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Aaron,Aryee,REC,2
9925034,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Aaron,Aryee,YDS,97
9925035,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Aaron,Aryee,TD,1
9925036,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Aaron,Aryee,LONG,67
9925037,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Jean,Constant,REC,4
9925038,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Jean,Constant,YDS,74
9925039,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Jean,Constant,TD,0
9925040,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Jean,Constant,LONG,35
9925041,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Taylor,Barthelette,REC,2
9925042,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Taylor,Barthelette,YDS,30
9925043,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Taylor,Barthelette,TD,1
9925044,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Taylor,Barthelette,LONG,21
9925045,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Mitchell,Baxter,REC,2
9925046,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Mitchell,Baxter,YDS,21
9925047,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Mitchell,Baxter,TD,0
9925048,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Mitchell,Baxter,LONG,12
9925049,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Joe,Fine,REC,1
9925050,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Joe,Fine,YDS,20
9925051,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Joe,Fine,TD,0
9925052,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Joe,Fine,LONG,20
9925053,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Brenden,Femiano,REC,1
9925054,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Brenden,Femiano,YDS,8
9925055,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Brenden,Femiano,TD,0
9925056,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Brenden,Femiano,LONG,8
9925057,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Hunter,Taute,REC,2
9925058,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Hunter,Taute,YDS,5
9925059,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Hunter,Taute,TD,0
9925060,11/19/2016,FCS,Bryant,Sacred Heart,RECEIVING,Hunter,Taute,LONG,3
