ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
9364001,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Keynnard,CampbellJr.,ATT,7
9364002,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Keynnard,CampbellJr.,YDS,24
9364003,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Keynnard,CampbellJr.,TD,0
9364004,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Keynnard,CampbellJr.,LONG,19
9364005,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Arshon,SpauldingJr.,ATT,3
9364006,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Arshon,SpauldingJr.,YDS,16
9364007,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Arshon,SpauldingJr.,TD,0
9364008,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Arshon,SpauldingJr.,LONG,17
9364009,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Nicholas,Bentley,ATT,6
9364010,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Nicholas,Bentley,YDS,1
9364011,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Nicholas,Bentley,TD,0
9364012,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Nicholas,Bentley,LONG,2
9364013,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Leon,Prunty,ATT,1
9364014,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Leon,Prunty,YDS,1
9364015,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Leon,Prunty,TD,0
9364016,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Leon,Prunty,LONG,1
9364017,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Rashad,Saxton,ATT,4
9364018,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Rashad,Saxton,YDS,1
9364019,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Rashad,Saxton,TD,0
9364020,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Rashad,Saxton,LONG,5
9364021,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,T.J.,Bell,ATT,3
9364022,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,T.J.,Bell,YDS,-13
9364023,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,T.J.,Bell,TD,0
9364024,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,T.J.,Bell,LONG,9
9364025,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Blake,Dever,ATT,5
9364026,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Blake,Dever,YDS,-19
9364027,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Blake,Dever,TD,0
9364028,9/10/2016,FCS,Savannah State,Southern Miss,RUSHING,Blake,Dever,LONG,1
9364029,9/10/2016,FCS,Savannah State,Southern Miss,PASSING,Blake,Dever,CP-ATT-INT,1-7-0
9364030,9/10/2016,FCS,Savannah State,Southern Miss,PASSING,Blake,Dever,YDS,17
9364031,9/10/2016,FCS,Savannah State,Southern Miss,PASSING,Blake,Dever,TD,0
9364032,9/10/2016,FCS,Savannah State,Southern Miss,PASSING,Blake,Dever,LONG,0
9364033,9/10/2016,FCS,Savannah State,Southern Miss,PASSING,T.J.,Bell,CP-ATT-INT,3-5-0
9364034,9/10/2016,FCS,Savannah State,Southern Miss,PASSING,T.J.,Bell,YDS,13
9364035,9/10/2016,FCS,Savannah State,Southern Miss,PASSING,T.J.,Bell,TD,0
9364036,9/10/2016,FCS,Savannah State,Southern Miss,PASSING,T.J.,Bell,LONG,0
9364037,9/10/2016,FCS,Savannah State,Southern Miss,PASSING,Leon,Prunty,CP-ATT-INT,0-1-0
9364038,9/10/2016,FCS,Savannah State,Southern Miss,PASSING,Leon,Prunty,YDS,0
9364039,9/10/2016,FCS,Savannah State,Southern Miss,PASSING,Leon,Prunty,TD,0
9364040,9/10/2016,FCS,Savannah State,Southern Miss,PASSING,Leon,Prunty,LONG,0
9364041,9/10/2016,FCS,Savannah State,Southern Miss,RECEIVING,Jeremiah,HarrisJr.,REC,2
9364042,9/10/2016,FCS,Savannah State,Southern Miss,RECEIVING,Jeremiah,HarrisJr.,YDS,23
9364043,9/10/2016,FCS,Savannah State,Southern Miss,RECEIVING,Jeremiah,HarrisJr.,TD,0
9364044,9/10/2016,FCS,Savannah State,Southern Miss,RECEIVING,Jeremiah,HarrisJr.,LONG,17
9364045,9/10/2016,FCS,Savannah State,Southern Miss,RECEIVING,Arshon,SpauldingJr.,REC,2
9364046,9/10/2016,FCS,Savannah State,Southern Miss,RECEIVING,Arshon,SpauldingJr.,YDS,7
9364047,9/10/2016,FCS,Savannah State,Southern Miss,RECEIVING,Arshon,SpauldingJr.,TD,0
9364048,9/10/2016,FCS,Savannah State,Southern Miss,RECEIVING,Arshon,SpauldingJr.,LONG,6
9364049,9/10/2016,FCS,Savannah State,Southern Miss,KICKING,John,Barron,FG-FGA,0/1
9364050,9/10/2016,FCS,Savannah State,Southern Miss,KICKING,John,Barron,LONG,0
9364051,9/10/2016,FCS,Savannah State,Southern Miss,KICKING,John,Barron,XP,0
9364052,9/10/2016,FCS,Savannah State,Southern Miss,KICKING,John,Barron,PTS,0
9364053,9/10/2016,FCS,Savannah State,Southern Miss,PUNTING,John,Barron,NO,7
9364054,9/10/2016,FCS,Savannah State,Southern Miss,PUNTING,John,Barron,YDS,328
9364055,9/10/2016,FCS,Savannah State,Southern Miss,PUNTING,John,Barron,AVG,46.9
9364056,9/10/2016,FCS,Savannah State,Southern Miss,PUNTING,John,Barron,LONG,62
9364057,9/10/2016,FCS,Savannah State,Southern Miss,PUNTING,Giovanni,Lugo,NO,4
9364058,9/10/2016,FCS,Savannah State,Southern Miss,PUNTING,Giovanni,Lugo,YDS,170
9364059,9/10/2016,FCS,Savannah State,Southern Miss,PUNTING,Giovanni,Lugo,AVG,42.5
9364060,9/10/2016,FCS,Savannah State,Southern Miss,PUNTING,Giovanni,Lugo,LONG,51
9364061,9/10/2016,FCS,Savannah State,Southern Miss,KICK RETURNS,Cantrell,Frazier,NO,4
9364062,9/10/2016,FCS,Savannah State,Southern Miss,KICK RETURNS,Cantrell,Frazier,YDS,58
