ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
9433001,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Trevor,Bouma,ATT,25
9433002,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Trevor,Bouma,YDS,95
9433003,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Trevor,Bouma,TD,1
9433004,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Trevor,Bouma,LONG,17
9433005,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Chris,Streveler,ATT,19
9433006,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Chris,Streveler,YDS,90
9433007,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Chris,Streveler,TD,0
9433008,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Chris,Streveler,LONG,22
9433009,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Austin,Simmons,ATT,3
9433010,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Austin,Simmons,YDS,7
9433011,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Austin,Simmons,TD,0
9433012,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Austin,Simmons,LONG,9
9433013,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Michael,Fredrick,ATT,4
9433014,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Michael,Fredrick,YDS,-2
9433015,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Michael,Fredrick,TD,0
9433016,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Michael,Fredrick,LONG,0
9433017,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Tacari,Carpenter,ATT,1
9433018,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Tacari,Carpenter,YDS,-2
9433019,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Tacari,Carpenter,TD,0
9433020,9/17/2016,FCS,South Dakota,North Dakota,RUSHING,Tacari,Carpenter,LONG,0
9433021,9/17/2016,FCS,South Dakota,North Dakota,PASSING,Chris,Streveler,CP-ATT-INT,16-29-2
9433022,9/17/2016,FCS,South Dakota,North Dakota,PASSING,Chris,Streveler,YDS,215
9433023,9/17/2016,FCS,South Dakota,North Dakota,PASSING,Chris,Streveler,TD,4
9433024,9/17/2016,FCS,South Dakota,North Dakota,PASSING,Chris,Streveler,LONG,63
9433025,9/17/2016,FCS,South Dakota,North Dakota,RECEIVING,Riley,Donovan,REC,4
