ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
10398001,10/14/2017,FCS,Villanova,James Madison,RUSHING,Kyle,McCloskey,ATT,16
10398002,10/14/2017,FCS,Villanova,James Madison,RUSHING,Kyle,McCloskey,YDS,43
10398003,10/14/2017,FCS,Villanova,James Madison,RUSHING,Kyle,McCloskey,TD,0
10398004,10/14/2017,FCS,Villanova,James Madison,RUSHING,Kyle,McCloskey,LONG,12
10398005,10/14/2017,FCS,Villanova,James Madison,RUSHING,Aaron,Forbes,ATT,11
10398006,10/14/2017,FCS,Villanova,James Madison,RUSHING,Aaron,Forbes,YDS,37
10398007,10/14/2017,FCS,Villanova,James Madison,RUSHING,Aaron,Forbes,TD,0
10398008,10/14/2017,FCS,Villanova,James Madison,RUSHING,Aaron,Forbes,LONG,11
10398009,10/14/2017,FCS,Villanova,James Madison,RUSHING,Damone,Drew,ATT,4
10398010,10/14/2017,FCS,Villanova,James Madison,RUSHING,Damone,Drew,YDS,22
10398011,10/14/2017,FCS,Villanova,James Madison,RUSHING,Damone,Drew,TD,0
10398012,10/14/2017,FCS,Villanova,James Madison,RUSHING,Damone,Drew,LONG,9
10398013,10/14/2017,FCS,Villanova,James Madison,RUSHING,Justin,Covington,ATT,7
10398014,10/14/2017,FCS,Villanova,James Madison,RUSHING,Justin,Covington,YDS,21
10398015,10/14/2017,FCS,Villanova,James Madison,RUSHING,Justin,Covington,TD,0
10398016,10/14/2017,FCS,Villanova,James Madison,RUSHING,Justin,Covington,LONG,14
10398017,10/14/2017,FCS,Villanova,James Madison,RUSHING,Jack,Schetelich,ATT,9
10398018,10/14/2017,FCS,Villanova,James Madison,RUSHING,Jack,Schetelich,YDS,18
10398019,10/14/2017,FCS,Villanova,James Madison,RUSHING,Jack,Schetelich,TD,0
10398020,10/14/2017,FCS,Villanova,James Madison,RUSHING,Jack,Schetelich,LONG,16
10398021,10/14/2017,FCS,Villanova,James Madison,RUSHING,Jarrett,McClenton,ATT,1
10398022,10/14/2017,FCS,Villanova,James Madison,RUSHING,Jarrett,McClenton,YDS,3
10398023,10/14/2017,FCS,Villanova,James Madison,RUSHING,Jarrett,McClenton,TD,0
10398024,10/14/2017,FCS,Villanova,James Madison,RUSHING,Jarrett,McClenton,LONG,3
10398025,10/14/2017,FCS,Villanova,James Madison,PASSING,Jack,Schetelich,CP-ATT-INT,3-12-1
10398026,10/14/2017,FCS,Villanova,James Madison,PASSING,Jack,Schetelich,YDS,15
10398027,10/14/2017,FCS,Villanova,James Madison,PASSING,Jack,Schetelich,TD,0
10398028,10/14/2017,FCS,Villanova,James Madison,PASSING,Jack,Schetelich,LONG,11
10398029,10/14/2017,FCS,Villanova,James Madison,PASSING,Kyle,McCloskey,CP-ATT-INT,2-7-1
10398030,10/14/2017,FCS,Villanova,James Madison,PASSING,Kyle,McCloskey,YDS,15
10398031,10/14/2017,FCS,Villanova,James Madison,PASSING,Kyle,McCloskey,TD,1
10398032,10/14/2017,FCS,Villanova,James Madison,PASSING,Kyle,McCloskey,LONG,11
10398033,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Brandon,Chadbourn,REC,1
10398034,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Brandon,Chadbourn,YDS,11
10398035,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Brandon,Chadbourn,TD,0
10398036,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Brandon,Chadbourn,LONG,11
10398037,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Aaron,Forbes,REC,1
10398038,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Aaron,Forbes,YDS,9
10398039,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Aaron,Forbes,TD,0
10398040,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Aaron,Forbes,LONG,9
10398041,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Taurus,Phillips,REC,2
10398042,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Taurus,Phillips,YDS,6
10398043,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Taurus,Phillips,TD,0
10398044,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Taurus,Phillips,LONG,11
10398045,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Todd,Summers,REC,1
10398046,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Todd,Summers,YDS,4
10398047,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Todd,Summers,TD,1
10398048,10/14/2017,FCS,Villanova,James Madison,RECEIVING,Todd,Summers,LONG,4
10398049,10/14/2017,FCS,Villanova,James Madison,PUNTING,John,Hinchen,NO,8
10398050,10/14/2017,FCS,Villanova,James Madison,PUNTING,John,Hinchen,YDS,371
10398051,10/14/2017,FCS,Villanova,James Madison,PUNTING,John,Hinchen,AVG,46.4
10398052,10/14/2017,FCS,Villanova,James Madison,PUNTING,John,Hinchen,LONG,53
