ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
10496001,10/21/2017,FCS,Morgan State,Howard,RUSHING,Eric,Harrell,ATT,16
10496002,10/21/2017,FCS,Morgan State,Howard,RUSHING,Eric,Harrell,YDS,93
10496003,10/21/2017,FCS,Morgan State,Howard,RUSHING,Eric,Harrell,TD,1
10496004,10/21/2017,FCS,Morgan State,Howard,RUSHING,Eric,Harrell,LONG,47
10496005,10/21/2017,FCS,Morgan State,Howard,RUSHING,Herb,WalkerJr.,ATT,16
10496006,10/21/2017,FCS,Morgan State,Howard,RUSHING,Herb,WalkerJr.,YDS,72
10496007,10/21/2017,FCS,Morgan State,Howard,RUSHING,Herb,WalkerJr.,TD,1
10496008,10/21/2017,FCS,Morgan State,Howard,RUSHING,Herb,WalkerJr.,LONG,28
10496009,10/21/2017,FCS,Morgan State,Howard,RUSHING,Elijah,Staley,ATT,8
10496010,10/21/2017,FCS,Morgan State,Howard,RUSHING,Elijah,Staley,YDS,53
10496011,10/21/2017,FCS,Morgan State,Howard,RUSHING,Elijah,Staley,TD,0
10496012,10/21/2017,FCS,Morgan State,Howard,RUSHING,Elijah,Staley,LONG,39
10496013,10/21/2017,FCS,Morgan State,Howard,PASSING,Elijah,Staley,CP-ATT-INT,23-44-2
10496014,10/21/2017,FCS,Morgan State,Howard,PASSING,Elijah,Staley,YDS,290
10496015,10/21/2017,FCS,Morgan State,Howard,PASSING,Elijah,Staley,TD,0
10496016,10/21/2017,FCS,Morgan State,Howard,PASSING,Elijah,Staley,LONG,28
10496017,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Manassah,Bailey,REC,6
10496018,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Manassah,Bailey,YDS,89
10496019,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Manassah,Bailey,TD,0
10496020,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Manassah,Bailey,LONG,28
10496021,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Deontaye,White,REC,3
10496022,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Deontaye,White,YDS,50
10496023,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Deontaye,White,TD,0
10496024,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Deontaye,White,LONG,21
10496025,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Amonta,Poteat,REC,4
10496026,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Amonta,Poteat,YDS,42
10496027,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Amonta,Poteat,TD,0
10496028,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Amonta,Poteat,LONG,19
10496029,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Dushon,David,REC,3
10496030,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Dushon,David,YDS,27
10496031,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Dushon,David,TD,0
10496032,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Dushon,David,LONG,14
10496033,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Eric,Harrell,REC,1
10496034,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Eric,Harrell,YDS,18
10496035,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Eric,Harrell,TD,0
10496036,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Eric,Harrell,LONG,18
10496037,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Brandon,Jones,REC,2
10496038,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Brandon,Jones,YDS,16
10496039,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Brandon,Jones,TD,0
10496040,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Brandon,Jones,LONG,12
10496041,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Daylen,Baldwin,REC,1
10496042,10/21/2017,FCS,Morgan State,Howard,RECEIVING,Daylen,Baldwin,YDS,16
