ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
10356001,10/7/2017,FCS,Maine,Villanova,RUSHING,Josh,Mack,ATT,18
10356002,10/7/2017,FCS,Maine,Villanova,RUSHING,Josh,Mack,YDS,22
10356003,10/7/2017,FCS,Maine,Villanova,RUSHING,Josh,Mack,TD,0
10356004,10/7/2017,FCS,Maine,Villanova,RUSHING,Josh,Mack,LONG,9
10356005,10/7/2017,FCS,Maine,Villanova,RUSHING,Drew,Belcher,ATT,2
10356006,10/7/2017,FCS,Maine,Villanova,RUSHING,Drew,Belcher,YDS,11
10356007,10/7/2017,FCS,Maine,Villanova,RUSHING,Drew,Belcher,TD,0
10356008,10/7/2017,FCS,Maine,Villanova,RUSHING,Drew,Belcher,LONG,9
10356009,10/7/2017,FCS,Maine,Villanova,RUSHING,Joe,Fitzpatrick,ATT,2
10356010,10/7/2017,FCS,Maine,Villanova,RUSHING,Joe,Fitzpatrick,YDS,8
10356011,10/7/2017,FCS,Maine,Villanova,RUSHING,Joe,Fitzpatrick,TD,0
10356012,10/7/2017,FCS,Maine,Villanova,RUSHING,Joe,Fitzpatrick,LONG,5
10356013,10/7/2017,FCS,Maine,Villanova,RUSHING,Derek,Deoul,ATT,1
10356014,10/7/2017,FCS,Maine,Villanova,RUSHING,Derek,Deoul,YDS,7
10356015,10/7/2017,FCS,Maine,Villanova,RUSHING,Derek,Deoul,TD,0
10356016,10/7/2017,FCS,Maine,Villanova,RUSHING,Derek,Deoul,LONG,7
10356017,10/7/2017,FCS,Maine,Villanova,RUSHING,Max,Staver,ATT,1
10356018,10/7/2017,FCS,Maine,Villanova,RUSHING,Max,Staver,YDS,2
10356019,10/7/2017,FCS,Maine,Villanova,RUSHING,Max,Staver,TD,0
10356020,10/7/2017,FCS,Maine,Villanova,RUSHING,Max,Staver,LONG,2
10356021,10/7/2017,FCS,Maine,Villanova,RUSHING,Earnest,Edwards,ATT,2
10356022,10/7/2017,FCS,Maine,Villanova,RUSHING,Earnest,Edwards,YDS,-2
10356023,10/7/2017,FCS,Maine,Villanova,RUSHING,Earnest,Edwards,TD,0
10356024,10/7/2017,FCS,Maine,Villanova,RUSHING,Earnest,Edwards,LONG,1
10356025,10/7/2017,FCS,Maine,Villanova,RUSHING,Chris,Ferguson,ATT,2
10356026,10/7/2017,FCS,Maine,Villanova,RUSHING,Chris,Ferguson,YDS,-9
10356027,10/7/2017,FCS,Maine,Villanova,RUSHING,Chris,Ferguson,TD,0
