ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
10340001,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Lance,Dunn,ATT,16
10340002,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Lance,Dunn,YDS,74
10340003,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Lance,Dunn,TD,2
10340004,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Lance,Dunn,LONG,17
10340005,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Easton,Stick,ATT,3
10340006,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Easton,Stick,YDS,53
10340007,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Easton,Stick,TD,0
10340008,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Easton,Stick,LONG,44
10340009,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Bruce,Anderson,ATT,12
10340010,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Bruce,Anderson,YDS,50
10340011,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Bruce,Anderson,TD,0
10340012,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Bruce,Anderson,LONG,11
10340013,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Dallas,Freeman,ATT,1
10340014,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Dallas,Freeman,YDS,31
10340015,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Dallas,Freeman,TD,0
10340016,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Dallas,Freeman,LONG,31
10340017,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Adam,Cofield,ATT,6
10340018,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Adam,Cofield,YDS,26
10340019,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Adam,Cofield,TD,1
10340020,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Adam,Cofield,LONG,11
10340021,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Henry,VanDellen,ATT,2
10340022,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Henry,VanDellen,YDS,11
10340023,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Henry,VanDellen,TD,0
10340024,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Henry,VanDellen,LONG,9
10340025,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Victor,Kizewski,ATT,2
10340026,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Victor,Kizewski,YDS,3
10340027,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Victor,Kizewski,TD,0
10340028,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,Victor,Kizewski,LONG,2
10340029,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,,Team,ATT,2
10340030,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,,Team,YDS,-2
10340031,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,,Team,TD,0
10340032,10/7/2017,FCS,North Dakota St.,Indiana State,RUSHING,,Team,LONG,0
10340033,10/7/2017,FCS,North Dakota St.,Indiana State,PASSING,Easton,Stick,CP-ATT-INT,18-23-0
10340034,10/7/2017,FCS,North Dakota St.,Indiana State,PASSING,Easton,Stick,YDS,191
10340035,10/7/2017,FCS,North Dakota St.,Indiana State,PASSING,Easton,Stick,TD,4
10340036,10/7/2017,FCS,North Dakota St.,Indiana State,PASSING,Easton,Stick,LONG,31
10340037,10/7/2017,FCS,North Dakota St.,Indiana State,PASSING,Henry,VanDellen,CP-ATT-INT,3-4-0
10340038,10/7/2017,FCS,North Dakota St.,Indiana State,PASSING,Henry,VanDellen,YDS,11
10340039,10/7/2017,FCS,North Dakota St.,Indiana State,PASSING,Henry,VanDellen,TD,0
10340040,10/7/2017,FCS,North Dakota St.,Indiana State,PASSING,Henry,VanDellen,LONG,6
10340041,10/7/2017,FCS,North Dakota St.,Indiana State,RECEIVING,Darrius,Shepherd,REC,6
10340042,10/7/2017,FCS,North Dakota St.,Indiana State,RECEIVING,Darrius,Shepherd,YDS,94
10340043,10/7/2017,FCS,North Dakota St.,Indiana State,RECEIVING,Darrius,Shepherd,TD,0
10340044,10/7/2017,FCS,North Dakota St.,Indiana State,RECEIVING,Darrius,Shepherd,LONG,31
10340045,10/7/2017,FCS,North Dakota St.,Indiana State,RECEIVING,Connor,Wentz,REC,3
10340046,10/7/2017,FCS,North Dakota St.,Indiana State,RECEIVING,Connor,Wentz,YDS,36
10340047,10/7/2017,FCS,North Dakota St.,Indiana State,RECEIVING,Connor,Wentz,TD,2
10340048,10/7/2017,FCS,North Dakota St.,Indiana State,RECEIVING,Connor,Wentz,LONG,27
10340049,10/7/2017,FCS,North Dakota St.,Indiana State,RECEIVING,Dallas,Freeman,REC,2
10340050,10/7/2017,FCS,North Dakota St.,Indiana State,RECEIVING,Dallas,Freeman,YDS,20
10340051,10/7/2017,FCS,North Dakota St.,Indiana State,RECEIVING,Dallas,Freeman,TD,1
