ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
10757001,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Evan,Gray,ATT,24
10757002,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Evan,Gray,YDS,85
10757003,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Evan,Gray,TD,0
10757004,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Evan,Gray,LONG,12
10757005,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Brandon,Gallagher,ATT,4
10757006,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Brandon,Gallagher,YDS,15
10757007,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Brandon,Gallagher,TD,0
10757008,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Brandon,Gallagher,LONG,10
10757009,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Trevor,Knight,ATT,2
10757010,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Trevor,Knight,YDS,7
10757011,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Trevor,Knight,TD,0
10757012,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Trevor,Knight,LONG,4
10757013,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Christian,Lupoli,ATT,10
10757014,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Christian,Lupoli,YDS,5
10757015,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Christian,Lupoli,TD,0
10757016,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,Christian,Lupoli,LONG,9
10757017,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,,Team,ATT,6
10757018,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,,Team,YDS,-6
10757019,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,,Team,TD,0
10757020,12/2/2017,FCS,New Hampshire,Central Ark.,RUSHING,,Team,LONG,-1
10757021,12/2/2017,FCS,New Hampshire,Central Ark.,PASSING,Christian,Lupoli,CP-ATT-INT,8-10-0
10757022,12/2/2017,FCS,New Hampshire,Central Ark.,PASSING,Christian,Lupoli,YDS,63
10757023,12/2/2017,FCS,New Hampshire,Central Ark.,PASSING,Christian,Lupoli,TD,1
10757024,12/2/2017,FCS,New Hampshire,Central Ark.,PASSING,Christian,Lupoli,LONG,19
