ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
10278001,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Sta'fon,McCray,ATT,9
10278002,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Sta'fon,McCray,YDS,104
10278003,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Sta'fon,McCray,TD,2
10278004,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Sta'fon,McCray,LONG,55
10278005,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Dawonya,Tucker,ATT,13
10278006,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Dawonya,Tucker,YDS,69
10278007,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Dawonya,Tucker,TD,0
10278008,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Dawonya,Tucker,LONG,17
10278009,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Caleb,Broach,ATT,7
10278010,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Caleb,Broach,YDS,25
10278011,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Caleb,Broach,TD,0
10278012,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Caleb,Broach,LONG,12
10278013,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Darius,Floyd,ATT,2
10278014,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Darius,Floyd,YDS,19
10278015,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Darius,Floyd,TD,0
10278016,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Darius,Floyd,LONG,10
10278017,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Kalen,Riles,ATT,2
10278018,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Kalen,Riles,YDS,18
10278019,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Kalen,Riles,TD,0
10278020,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Kalen,Riles,LONG,11
10278021,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,LaVell,McCullers,ATT,9
10278022,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,LaVell,McCullers,YDS,11
10278023,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,LaVell,McCullers,TD,0
10278024,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,LaVell,McCullers,LONG,14
10278025,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Owen,Hoolihan,ATT,1
10278026,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Owen,Hoolihan,YDS,-12
10278027,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Owen,Hoolihan,TD,0
10278028,9/23/2017,FCS,Prairie View A&M,Alabama State,RUSHING,Owen,Hoolihan,LONG,0
10278029,9/23/2017,FCS,Prairie View A&M,Alabama State,PASSING,LaVell,McCullers,CP-ATT-INT,14-27-0
10278030,9/23/2017,FCS,Prairie View A&M,Alabama State,PASSING,LaVell,McCullers,YDS,173
10278031,9/23/2017,FCS,Prairie View A&M,Alabama State,PASSING,LaVell,McCullers,TD,1
10278032,9/23/2017,FCS,Prairie View A&M,Alabama State,PASSING,LaVell,McCullers,LONG,61
10278033,9/23/2017,FCS,Prairie View A&M,Alabama State,PASSING,Neiko,Hollins,CP-ATT-INT,1-1-0
10278034,9/23/2017,FCS,Prairie View A&M,Alabama State,PASSING,Neiko,Hollins,YDS,2
10278035,9/23/2017,FCS,Prairie View A&M,Alabama State,PASSING,Neiko,Hollins,TD,0
10278036,9/23/2017,FCS,Prairie View A&M,Alabama State,PASSING,Neiko,Hollins,LONG,2
10278037,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Markcus,Hardy,REC,2
10278038,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Markcus,Hardy,YDS,79
10278039,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Markcus,Hardy,TD,1
10278040,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Markcus,Hardy,LONG,61
10278041,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Khaderal,Hodge,REC,3
10278042,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Khaderal,Hodge,YDS,38
10278043,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Khaderal,Hodge,TD,0
10278044,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Khaderal,Hodge,LONG,15
10278045,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Darius,Floyd,REC,4
10278046,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Darius,Floyd,YDS,20
10278047,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Darius,Floyd,TD,0
10278048,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Darius,Floyd,LONG,11
10278049,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Cameron,Smith,REC,2
10278050,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Cameron,Smith,YDS,20
10278051,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Cameron,Smith,TD,0
10278052,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Cameron,Smith,LONG,10
10278053,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Drake,Carter,REC,1
10278054,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Drake,Carter,YDS,13
10278055,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Drake,Carter,TD,0
10278056,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Drake,Carter,LONG,13
10278057,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Quinton,Bell,REC,1
10278058,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Quinton,Bell,YDS,6
10278059,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Quinton,Bell,TD,0
10278060,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Quinton,Bell,LONG,6
10278061,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Kalen,Riles,REC,1
10278062,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Kalen,Riles,YDS,2
10278063,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Kalen,Riles,TD,0
10278064,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Kalen,Riles,LONG,2
10278065,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Dawonya,Tucker,REC,1
10278066,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Dawonya,Tucker,YDS,-3
10278067,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Dawonya,Tucker,TD,0
10278068,9/23/2017,FCS,Prairie View A&M,Alabama State,RECEIVING,Dawonya,Tucker,LONG,0
10278069,9/23/2017,FCS,Prairie View A&M,Alabama State,KICKING,Zach,Elder,FG-FGA,2/2
10278070,9/23/2017,FCS,Prairie View A&M,Alabama State,KICKING,Zach,Elder,LONG,48
10278071,9/23/2017,FCS,Prairie View A&M,Alabama State,KICKING,Zach,Elder,XP,4
10278072,9/23/2017,FCS,Prairie View A&M,Alabama State,KICKING,Zach,Elder,PTS,10
10278073,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNTING,Zach,Elder,NO,1
10278074,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNTING,Zach,Elder,YDS,38
10278075,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNTING,Zach,Elder,AVG,38.0
10278076,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNTING,Zach,Elder,LONG,38
10278077,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNT RETURNS,Darius,Floyd,NO,1
10278078,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNT RETURNS,Darius,Floyd,YDS,3
10278079,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNT RETURNS,Darius,Floyd,AVG,3.0
10278080,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNT RETURNS,Darius,Floyd,LONG,3
10278081,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNT RETURNS,Reginald,Stubblefield,NO,1
10278082,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNT RETURNS,Reginald,Stubblefield,YDS,2
10278083,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNT RETURNS,Reginald,Stubblefield,AVG,2.0
10278084,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNT RETURNS,Reginald,Stubblefield,LONG,2
10278085,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNT RETURNS,Dawonya,Tucker,NO,1
10278086,9/23/2017,FCS,Prairie View A&M,Alabama State,PUNT RETURNS,Dawonya,Tucker,YDS,-3
