ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
10139001,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Damion,May,ATT,6
10139002,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Damion,May,YDS,27
10139003,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Damion,May,TD,0
10139004,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Damion,May,LONG,18
10139005,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Trevon,Walters,ATT,12
10139006,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Trevon,Walters,YDS,17
10139007,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Trevon,Walters,TD,0
10139008,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Trevon,Walters,LONG,13
10139009,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Joseph,Burke,ATT,8
10139010,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Joseph,Burke,YDS,17
10139011,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Joseph,Burke,TD,0
10139012,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Joseph,Burke,LONG,8
10139013,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Byran,Brower,ATT,3
10139014,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Byran,Brower,YDS,7
10139015,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Byran,Brower,TD,0
10139016,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Byran,Brower,LONG,5
10139017,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Aqeel,Glass,ATT,3
10139018,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Aqeel,Glass,YDS,-9
10139019,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Aqeel,Glass,TD,0
10139020,9/9/2017,FCS,Alabama A&M,Vanderbilt,RUSHING,Aqeel,Glass,LONG,3
10139021,9/9/2017,FCS,Alabama A&M,Vanderbilt,PASSING,Damion,May,CP-ATT-INT,3-8-1
10139022,9/9/2017,FCS,Alabama A&M,Vanderbilt,PASSING,Damion,May,YDS,29
10139023,9/9/2017,FCS,Alabama A&M,Vanderbilt,PASSING,Damion,May,TD,0
10139024,9/9/2017,FCS,Alabama A&M,Vanderbilt,PASSING,Damion,May,LONG,23
10139025,9/9/2017,FCS,Alabama A&M,Vanderbilt,PASSING,Aqeel,Glass,CP-ATT-INT,5-13-1
10139026,9/9/2017,FCS,Alabama A&M,Vanderbilt,PASSING,Aqeel,Glass,YDS,15
10139027,9/9/2017,FCS,Alabama A&M,Vanderbilt,PASSING,Aqeel,Glass,TD,0
10139028,9/9/2017,FCS,Alabama A&M,Vanderbilt,PASSING,Aqeel,Glass,LONG,5
10139029,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Octayvius,Miles,REC,1
10139030,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Octayvius,Miles,YDS,23
10139031,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Octayvius,Miles,TD,0
10139032,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Octayvius,Miles,LONG,23
10139033,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Marceles,Clash,REC,2
10139034,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Marceles,Clash,YDS,10
10139035,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Marceles,Clash,TD,0
10139036,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Marceles,Clash,LONG,5
10139037,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Zabrian,Moore,REC,3
10139038,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Zabrian,Moore,YDS,5
10139039,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Zabrian,Moore,TD,0
10139040,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Zabrian,Moore,LONG,3
10139041,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Roderick,Randolph,REC,1
10139042,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Roderick,Randolph,YDS,4
10139043,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Roderick,Randolph,TD,0
10139044,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Roderick,Randolph,LONG,4
10139045,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Trevon,Walters,REC,1
10139046,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Trevon,Walters,YDS,2
10139047,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Trevon,Walters,TD,0
10139048,9/9/2017,FCS,Alabama A&M,Vanderbilt,RECEIVING,Trevon,Walters,LONG,2
10139049,9/9/2017,FCS,Alabama A&M,Vanderbilt,PUNTING,Nick,Carden,NO,9
10139050,9/9/2017,FCS,Alabama A&M,Vanderbilt,PUNTING,Nick,Carden,YDS,354
