ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
10096001,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Jordan,Meachum,ATT,14
10096002,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Jordan,Meachum,YDS,98
10096003,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Jordan,Meachum,TD,2
10096004,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Jordan,Meachum,LONG,28
10096005,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Ose,Imeokparia,ATT,18
10096006,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Ose,Imeokparia,YDS,97
10096007,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Ose,Imeokparia,TD,2
10096008,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Ose,Imeokparia,LONG,25
10096009,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Kevin,Duke,ATT,10
10096010,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Kevin,Duke,YDS,73
10096011,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Kevin,Duke,TD,0
10096012,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Kevin,Duke,LONG,18
10096013,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Eli,Terry,ATT,4
10096014,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Eli,Terry,YDS,10
10096015,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Eli,Terry,TD,0
10096016,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Eli,Terry,LONG,9
10096017,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Byron,Barney,ATT,1
10096018,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Byron,Barney,YDS,9
10096019,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Byron,Barney,TD,0
10096020,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Byron,Barney,LONG,9
10096021,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Andrew,O'Neill,ATT,1
10096022,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Andrew,O'Neill,YDS,0
10096023,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Andrew,O'Neill,TD,0
10096024,9/9/2017,FCS,Sacred Heart,Lafayette,RUSHING,Andrew,O'Neill,LONG,0
10096025,9/9/2017,FCS,Sacred Heart,Lafayette,PASSING,Kevin,Duke,CP-ATT-INT,19-25-1
10096026,9/9/2017,FCS,Sacred Heart,Lafayette,PASSING,Kevin,Duke,YDS,219
10096027,9/9/2017,FCS,Sacred Heart,Lafayette,PASSING,Kevin,Duke,TD,1
10096028,9/9/2017,FCS,Sacred Heart,Lafayette,PASSING,Kevin,Duke,LONG,31
10096029,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Byron,Barney,REC,5
10096030,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Byron,Barney,YDS,70
10096031,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Byron,Barney,TD,0
10096032,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Byron,Barney,LONG,28
10096033,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Andrew,O'Neill,REC,6
10096034,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Andrew,O'Neill,YDS,57
10096035,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Andrew,O'Neill,TD,1
10096036,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Andrew,O'Neill,LONG,21
10096037,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Lawrence,Nembhard,REC,3
10096038,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Lawrence,Nembhard,YDS,36
10096039,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Lawrence,Nembhard,TD,0
10096040,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Lawrence,Nembhard,LONG,15
10096041,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,RJ,Trimble-Edwards,REC,1
10096042,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,RJ,Trimble-Edwards,YDS,31
10096043,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,RJ,Trimble-Edwards,TD,0
10096044,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,RJ,Trimble-Edwards,LONG,31
10096045,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Jaylin,Deveau,REC,1
10096046,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Jaylin,Deveau,YDS,7
10096047,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Jaylin,Deveau,TD,0
10096048,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Jaylin,Deveau,LONG,7
10096049,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Ose,Imeokparia,REC,1
10096050,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Ose,Imeokparia,YDS,6
10096051,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Ose,Imeokparia,TD,0
10096052,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Ose,Imeokparia,LONG,6
10096053,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Jordan,Meachum,REC,1
10096054,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Jordan,Meachum,YDS,6
10096055,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Jordan,Meachum,TD,0
10096056,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Jordan,Meachum,LONG,6
10096057,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Mike,Whalen,REC,1
10096058,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Mike,Whalen,YDS,6
10096059,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Mike,Whalen,TD,0
10096060,9/9/2017,FCS,Sacred Heart,Lafayette,RECEIVING,Mike,Whalen,LONG,6
10096061,9/9/2017,FCS,Sacred Heart,Lafayette,KICKING,Josh,Freiria,FG-FGA,1/1
10096062,9/9/2017,FCS,Sacred Heart,Lafayette,KICKING,Josh,Freiria,LONG,19
10096063,9/9/2017,FCS,Sacred Heart,Lafayette,KICKING,Josh,Freiria,XP,5
10096064,9/9/2017,FCS,Sacred Heart,Lafayette,KICKING,Josh,Freiria,PTS,8
10096065,9/9/2017,FCS,Sacred Heart,Lafayette,PUNTING,Ryan,O'Dowd,NO,2
10096066,9/9/2017,FCS,Sacred Heart,Lafayette,PUNTING,Ryan,O'Dowd,YDS,84
10096067,9/9/2017,FCS,Sacred Heart,Lafayette,PUNTING,Ryan,O'Dowd,AVG,42.0
10096068,9/9/2017,FCS,Sacred Heart,Lafayette,PUNTING,Ryan,O'Dowd,LONG,42
10096069,9/9/2017,FCS,Sacred Heart,Lafayette,PUNT RETURNS,Jordan,Meachum,NO,1
10096070,9/9/2017,FCS,Sacred Heart,Lafayette,PUNT RETURNS,Jordan,Meachum,YDS,8
10096071,9/9/2017,FCS,Sacred Heart,Lafayette,PUNT RETURNS,Jordan,Meachum,AVG,8.0
10096072,9/9/2017,FCS,Sacred Heart,Lafayette,PUNT RETURNS,Jordan,Meachum,LONG,8
10096073,9/9/2017,FCS,Sacred Heart,Lafayette,PUNT RETURNS,Andrew,O'Neill,NO,1
