ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
11246001,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,DeJoun,Lee,ATT,15
11246002,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,DeJoun,Lee,YDS,45
11246003,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,DeJoun,Lee,TD,0
11246004,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,DeJoun,Lee,LONG,13
11246005,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Kani,Kane,ATT,9
11246006,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Kani,Kane,YDS,37
11246007,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Kani,Kane,TD,1
11246008,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Kani,Kane,LONG,18
11246009,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Andre,Robinson,ATT,5
11246010,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Andre,Robinson,YDS,8
11246011,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Andre,Robinson,TD,0
11246012,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Andre,Robinson,LONG,8
11246013,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Joe,Walker,ATT,1
11246014,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Joe,Walker,YDS,8
11246015,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Joe,Walker,TD,1
11246016,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Joe,Walker,LONG,8
11246017,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Kareem,Williams,ATT,3
11246018,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Kareem,Williams,YDS,3
11246019,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Kareem,Williams,TD,0
11246020,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Kareem,Williams,LONG,4
11246021,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Gene,ColemanII,ATT,1
11246022,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Gene,ColemanII,YDS,1
11246023,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Gene,ColemanII,TD,0
11246024,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Gene,ColemanII,LONG,1
11246025,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,J.P.,Caruso,ATT,1
11246026,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,J.P.,Caruso,YDS,-3
11246027,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,J.P.,Caruso,TD,0
11246028,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,J.P.,Caruso,LONG,0
11246029,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Pat,Kehoe,ATT,5
11246030,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Pat,Kehoe,YDS,-16
11246031,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Pat,Kehoe,TD,0
11246032,10/20/2018,FCS,Delaware,New Hampshire,RUSHING,Pat,Kehoe,LONG,3
11246033,10/20/2018,FCS,Delaware,New Hampshire,PASSING,Pat,Kehoe,CP-ATT-INT,7-10-0
11246034,10/20/2018,FCS,Delaware,New Hampshire,PASSING,Pat,Kehoe,YDS,94
11246035,10/20/2018,FCS,Delaware,New Hampshire,PASSING,Pat,Kehoe,TD,2
11246036,10/20/2018,FCS,Delaware,New Hampshire,PASSING,Pat,Kehoe,LONG,22
11246037,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Gene,ColemanII,REC,2
11246038,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Gene,ColemanII,YDS,37
11246039,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Gene,ColemanII,TD,0
11246040,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Gene,ColemanII,LONG,21
11246041,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Charles,Scarff,REC,1
11246042,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Charles,Scarff,YDS,22
11246043,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Charles,Scarff,TD,1
11246044,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Charles,Scarff,LONG,22
11246045,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Vinny,Papale,REC,2
11246046,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Vinny,Papale,YDS,20
11246047,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Vinny,Papale,TD,1
11246048,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Vinny,Papale,LONG,11
11246049,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Kani,Kane,REC,1
11246050,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Kani,Kane,YDS,10
11246051,10/20/2018,FCS,Delaware,New Hampshire,RECEIVING,Kani,Kane,TD,0
