ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
11283001,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Isaiah,Johnson,ATT,10
11283002,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Isaiah,Johnson,YDS,128
11283003,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Isaiah,Johnson,TD,2
11283004,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Isaiah,Johnson,LONG,49
11283005,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Johnathan,Brantley,ATT,13
11283006,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Johnathan,Brantley,YDS,52
11283007,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Johnathan,Brantley,TD,1
11283008,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Johnathan,Brantley,LONG,24
11283009,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Harry,Woodbery,ATT,5
11283010,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Harry,Woodbery,YDS,30
11283011,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Harry,Woodbery,TD,0
11283012,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Harry,Woodbery,LONG,17
11283013,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Aaron,Gooch,ATT,1
11283014,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Aaron,Gooch,YDS,-2
11283015,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Aaron,Gooch,TD,0
11283016,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,Aaron,Gooch,LONG,0
11283017,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,,Team,ATT,2
11283018,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,,Team,YDS,-19
11283019,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,,Team,TD,0
11283020,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RUSHING,,Team,LONG,0
11283021,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,PASSING,Harry,Woodbery,CP-ATT-INT,16-27-1
11283022,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,PASSING,Harry,Woodbery,YDS,181
11283023,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,PASSING,Harry,Woodbery,TD,0
11283024,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,PASSING,Harry,Woodbery,LONG,35
11283025,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,PASSING,Johnathan,Brantley,CP-ATT-INT,12-23-1
11283026,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,PASSING,Johnathan,Brantley,YDS,127
11283027,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,PASSING,Johnathan,Brantley,TD,0
11283028,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,PASSING,Johnathan,Brantley,LONG,26
11283029,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,PASSING,Nick,Bruno,CP-ATT-INT,1-1-0
11283030,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,PASSING,Nick,Bruno,YDS,12
11283031,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,PASSING,Nick,Bruno,TD,0
11283032,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,PASSING,Nick,Bruno,LONG,12
11283033,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Nick,Atoyebi,REC,7
11283034,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Nick,Atoyebi,YDS,88
11283035,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Nick,Atoyebi,TD,0
11283036,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Nick,Atoyebi,LONG,26
11283037,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,James,Sheehan,REC,6
11283038,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,James,Sheehan,YDS,82
11283039,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,James,Sheehan,TD,0
11283040,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,James,Sheehan,LONG,35
11283041,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Aaron,Gooch,REC,6
11283042,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Aaron,Gooch,YDS,79
11283043,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Aaron,Gooch,TD,0
11283044,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Aaron,Gooch,LONG,25
11283045,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Alexander,Hollins,REC,5
11283046,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Alexander,Hollins,YDS,43
11283047,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Alexander,Hollins,TD,0
11283048,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Alexander,Hollins,LONG,19
11283049,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Isaiah,Johnson,REC,4
11283050,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Isaiah,Johnson,YDS,22
11283051,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Isaiah,Johnson,TD,0
11283052,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Isaiah,Johnson,LONG,12
11283053,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Teriq,Phillips,REC,1
11283054,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Teriq,Phillips,YDS,5
11283055,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Teriq,Phillips,TD,0
11283056,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,RECEIVING,Teriq,Phillips,LONG,5
11283057,10/27/2018,FCS,Eastern Ill.,Eastern Ky.,KICKING,Nick,Bruno,FG-FGA,1/1
