ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
11296001,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Isaiah,Totten,ATT,19
11296002,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Isaiah,Totten,YDS,90
11296003,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Isaiah,Totten,TD,0
11296004,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Isaiah,Totten,LONG,23
11296005,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Chauncey,Caldwell,ATT,8
11296006,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Chauncey,Caldwell,YDS,31
11296007,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Chauncey,Caldwell,TD,1
11296008,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Chauncey,Caldwell,LONG,24
11296009,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,E.J.,Hicks,ATT,1
11296010,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,E.J.,Hicks,YDS,28
11296011,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,E.J.,Hicks,TD,0
11296012,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,E.J.,Hicks,LONG,28
11296013,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Patrick,Connor,ATT,1
11296014,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Patrick,Connor,YDS,24
11296015,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Patrick,Connor,TD,0
11296016,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Patrick,Connor,LONG,24
11296017,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Jonathan,DeLucca,ATT,1
11296018,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Jonathan,DeLucca,YDS,18
11296019,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Jonathan,DeLucca,TD,0
11296020,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Jonathan,DeLucca,LONG,18
11296021,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Naiil,Ramadan,ATT,4
11296022,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Naiil,Ramadan,YDS,7
11296023,10/27/2018,FCS,N.C. Central,Delaware St.,RUSHING,Naiil,Ramadan,TD,0
