ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
11148001,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Calvin,TurnerJr.,ATT,30
11148002,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Calvin,TurnerJr.,YDS,202
11148003,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Calvin,TurnerJr.,TD,3
11148004,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Calvin,TurnerJr.,LONG,39
11148005,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Garnett,Nicholas,ATT,19
11148006,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Garnett,Nicholas,YDS,90
11148007,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Garnett,Nicholas,TD,1
11148008,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Garnett,Nicholas,LONG,13
11148009,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Irvin,Riley,ATT,6
11148010,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Irvin,Riley,YDS,20
11148011,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Irvin,Riley,TD,1
11148012,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Irvin,Riley,LONG,9
11148013,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Will,Montgomery,ATT,3
11148014,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Will,Montgomery,YDS,12
11148015,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Will,Montgomery,TD,0
11148016,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Will,Montgomery,LONG,5
11148017,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,A.J.,Davis,ATT,2
11148018,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,A.J.,Davis,YDS,7
11148019,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,A.J.,Davis,TD,0
11148020,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,A.J.,Davis,LONG,4
11148021,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Nasser,Clark,ATT,1
11148022,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Nasser,Clark,YDS,5
11148023,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Nasser,Clark,TD,0
11148024,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Nasser,Clark,LONG,5
11148025,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Jalen,Mason,ATT,4
11148026,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Jalen,Mason,YDS,3
11148027,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Jalen,Mason,TD,0
11148028,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Jalen,Mason,LONG,3
11148029,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Craige,Saxton,ATT,1
11148030,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Craige,Saxton,YDS,1
11148031,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Craige,Saxton,TD,0
11148032,10/6/2018,FCS,Jacksonville,Davidson,RUSHING,Craige,Saxton,LONG,1
11148033,10/6/2018,FCS,Jacksonville,Davidson,PASSING,Calvin,TurnerJr.,CP-ATT-INT,5-11-1
11148034,10/6/2018,FCS,Jacksonville,Davidson,PASSING,Calvin,TurnerJr.,YDS,40
11148035,10/6/2018,FCS,Jacksonville,Davidson,PASSING,Calvin,TurnerJr.,TD,0
11148036,10/6/2018,FCS,Jacksonville,Davidson,PASSING,Calvin,TurnerJr.,LONG,11
11148037,10/6/2018,FCS,Jacksonville,Davidson,RECEIVING,Prince,Gray,REC,4
11148038,10/6/2018,FCS,Jacksonville,Davidson,RECEIVING,Prince,Gray,YDS,33
11148039,10/6/2018,FCS,Jacksonville,Davidson,RECEIVING,Prince,Gray,TD,0
11148040,10/6/2018,FCS,Jacksonville,Davidson,RECEIVING,Prince,Gray,LONG,11
11148041,10/6/2018,FCS,Jacksonville,Davidson,RECEIVING,Ian,Ainsworth,REC,1
11148042,10/6/2018,FCS,Jacksonville,Davidson,RECEIVING,Ian,Ainsworth,YDS,7
11148043,10/6/2018,FCS,Jacksonville,Davidson,RECEIVING,Ian,Ainsworth,TD,0
11148044,10/6/2018,FCS,Jacksonville,Davidson,RECEIVING,Ian,Ainsworth,LONG,7
11148045,10/6/2018,FCS,Jacksonville,Davidson,KICKING,Javier,Arce-Ramirez,FG-FGA,1/1
11148046,10/6/2018,FCS,Jacksonville,Davidson,KICKING,Javier,Arce-Ramirez,LONG,26
11148047,10/6/2018,FCS,Jacksonville,Davidson,KICKING,Javier,Arce-Ramirez,XP,2
11148048,10/6/2018,FCS,Jacksonville,Davidson,KICKING,Javier,Arce-Ramirez,PTS,5
