ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
11142001,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Ulonzo,Gilliam,ATT,10
11142002,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Ulonzo,Gilliam,YDS,48
11142003,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Ulonzo,Gilliam,TD,1
11142004,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Ulonzo,Gilliam,LONG,18
11142005,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Tehran,Thomas,ATT,12
11142006,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Tehran,Thomas,YDS,40
11142007,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Tehran,Thomas,TD,1
11142008,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Tehran,Thomas,LONG,15
11142009,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Keelan,Doss,ATT,2
11142010,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Keelan,Doss,YDS,18
11142011,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Keelan,Doss,TD,0
11142012,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Keelan,Doss,LONG,10
11142013,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Carson,Crawford,ATT,2
11142014,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Carson,Crawford,YDS,16
11142015,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Carson,Crawford,TD,0
11142016,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Carson,Crawford,LONG,11
11142017,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Justin,Kraft,ATT,1
11142018,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Justin,Kraft,YDS,7
11142019,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Justin,Kraft,TD,0
11142020,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Justin,Kraft,LONG,7
11142021,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Ryan,Martinez,ATT,1
11142022,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Ryan,Martinez,YDS,5
11142023,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Ryan,Martinez,TD,0
11142024,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Ryan,Martinez,LONG,5
11142025,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Jake,Maier,ATT,1
11142026,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Jake,Maier,YDS,1
11142027,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Jake,Maier,TD,0
11142028,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Jake,Maier,LONG,1
11142029,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Brock,Johnson,ATT,1
11142030,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Brock,Johnson,YDS,-1
11142031,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Brock,Johnson,TD,0
11142032,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,Brock,Johnson,LONG,0
11142033,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,,Team,ATT,4
11142034,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,,Team,YDS,-20
11142035,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,,Team,TD,0
11142036,10/6/2018,FCS,UC Davis,Northern Colo.,RUSHING,,Team,LONG,0
11142037,10/6/2018,FCS,UC Davis,Northern Colo.,PASSING,Jake,Maier,CP-ATT-INT,28-39-0
11142038,10/6/2018,FCS,UC Davis,Northern Colo.,PASSING,Jake,Maier,YDS,382
11142039,10/6/2018,FCS,UC Davis,Northern Colo.,PASSING,Jake,Maier,TD,4
11142040,10/6/2018,FCS,UC Davis,Northern Colo.,PASSING,Jake,Maier,LONG,0
11142041,10/6/2018,FCS,UC Davis,Northern Colo.,PASSING,Brock,Johnson,CP-ATT-INT,3-5-0
11142042,10/6/2018,FCS,UC Davis,Northern Colo.,PASSING,Brock,Johnson,YDS,28
11142043,10/6/2018,FCS,UC Davis,Northern Colo.,PASSING,Brock,Johnson,TD,1
11142044,10/6/2018,FCS,UC Davis,Northern Colo.,PASSING,Brock,Johnson,LONG,0
11142045,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Keelan,Doss,REC,11
11142046,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Keelan,Doss,YDS,161
11142047,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Keelan,Doss,TD,1
11142048,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Keelan,Doss,LONG,35
11142049,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Jared,Harrell,REC,4
11142050,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Jared,Harrell,YDS,88
11142051,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Jared,Harrell,TD,0
11142052,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Jared,Harrell,LONG,49
11142053,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Matt,Hyman,REC,2
11142054,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Matt,Hyman,YDS,28
11142055,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Matt,Hyman,TD,0
11142056,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Matt,Hyman,LONG,19
11142057,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Tehran,Thomas,REC,1
11142058,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Tehran,Thomas,YDS,28
11142059,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Tehran,Thomas,TD,0
11142060,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Tehran,Thomas,LONG,28
11142061,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Wesley,Preece,REC,4
11142062,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Wesley,Preece,YDS,25
11142063,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Wesley,Preece,TD,3
11142064,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Wesley,Preece,LONG,9
11142065,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Justin,Kraft,REC,1
11142066,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Justin,Kraft,YDS,23
11142067,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Justin,Kraft,TD,0
11142068,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Justin,Kraft,LONG,23
11142069,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Khris,Vaughn,REC,2
11142070,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Khris,Vaughn,YDS,22
11142071,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Khris,Vaughn,TD,0
11142072,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Khris,Vaughn,LONG,20
11142073,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Ulonzo,Gilliam,REC,4
11142074,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Ulonzo,Gilliam,YDS,16
11142075,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Ulonzo,Gilliam,TD,0
11142076,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Ulonzo,Gilliam,LONG,11
11142077,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Gabe,Martinez,REC,1
11142078,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Gabe,Martinez,YDS,16
11142079,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Gabe,Martinez,TD,1
11142080,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Gabe,Martinez,LONG,16
11142081,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Carson,Crawford,REC,1
11142082,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Carson,Crawford,YDS,3
11142083,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Carson,Crawford,TD,0
11142084,10/6/2018,FCS,UC Davis,Northern Colo.,RECEIVING,Carson,Crawford,LONG,3
11142085,10/6/2018,FCS,UC Davis,Northern Colo.,KICKING,Max,O'Rourke,FG-FGA,0/1
11142086,10/6/2018,FCS,UC Davis,Northern Colo.,KICKING,Max,O'Rourke,LONG,0
11142087,10/6/2018,FCS,UC Davis,Northern Colo.,KICKING,Max,O'Rourke,XP,7
11142088,10/6/2018,FCS,UC Davis,Northern Colo.,KICKING,Max,O'Rourke,PTS,7
11142089,10/6/2018,FCS,UC Davis,Northern Colo.,PUNTING,Daniel,Whelan,NO,2
11142090,10/6/2018,FCS,UC Davis,Northern Colo.,PUNTING,Daniel,Whelan,YDS,76
11142091,10/6/2018,FCS,UC Davis,Northern Colo.,PUNTING,Daniel,Whelan,AVG,38.0
11142092,10/6/2018,FCS,UC Davis,Northern Colo.,PUNTING,Daniel,Whelan,LONG,41
11142093,10/6/2018,FCS,UC Davis,Northern Colo.,PUNT RETURNS,Isaiah,Thomas,NO,3
11142094,10/6/2018,FCS,UC Davis,Northern Colo.,PUNT RETURNS,Isaiah,Thomas,YDS,14
11142095,10/6/2018,FCS,UC Davis,Northern Colo.,PUNT RETURNS,Isaiah,Thomas,AVG,4.7
11142096,10/6/2018,FCS,UC Davis,Northern Colo.,PUNT RETURNS,Isaiah,Thomas,LONG,9
11142097,10/6/2018,FCS,UC Davis,Northern Colo.,KICK RETURNS,Namane,Modise,NO,4
11142098,10/6/2018,FCS,UC Davis,Northern Colo.,KICK RETURNS,Namane,Modise,YDS,74
11142099,10/6/2018,FCS,UC Davis,Northern Colo.,KICK RETURNS,Namane,Modise,AVG,18.5
11142100,10/6/2018,FCS,UC Davis,Northern Colo.,KICK RETURNS,Namane,Modise,LONG,30
11142101,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Roland,Ocansey,TOT,0
11142102,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Roland,Ocansey,SOLO,0
11142103,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Roland,Ocansey,SACKS,1
11142104,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Roland,Ocansey,TFL,0
11142105,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Roland,Ocansey,INT,0
11142106,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Roland,Ocansey,FF,0
11142107,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Roland,Ocansey,FR,0
11142108,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Brandon,Jamison,TOT,0
11142109,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Brandon,Jamison,SOLO,0
11142110,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Brandon,Jamison,SACKS,1
11142111,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Brandon,Jamison,TFL,0
11142112,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Brandon,Jamison,INT,0
11142113,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Brandon,Jamison,FF,0
11142114,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Brandon,Jamison,FR,1
11142115,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Cam,Trimble,TOT,0
11142116,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Cam,Trimble,SOLO,0
11142117,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Cam,Trimble,SACKS,0
11142118,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Cam,Trimble,TFL,0
11142119,10/6/2018,FCS,UC Davis,Northern Colo.,DEFENSE,Cam,Trimble,INT,0
