ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
11492001,11/17/2018,FCS,Montana St.,Montana,RUSHING,Troy,Andersen,ATT,23
11492002,11/17/2018,FCS,Montana St.,Montana,RUSHING,Troy,Andersen,YDS,107
11492003,11/17/2018,FCS,Montana St.,Montana,RUSHING,Troy,Andersen,TD,3
11492004,11/17/2018,FCS,Montana St.,Montana,RUSHING,Troy,Andersen,LONG,20
11492005,11/17/2018,FCS,Montana St.,Montana,RUSHING,Isaiah,Ifanse,ATT,15
11492006,11/17/2018,FCS,Montana St.,Montana,RUSHING,Isaiah,Ifanse,YDS,63
11492007,11/17/2018,FCS,Montana St.,Montana,RUSHING,Isaiah,Ifanse,TD,0
11492008,11/17/2018,FCS,Montana St.,Montana,RUSHING,Isaiah,Ifanse,LONG,9
11492009,11/17/2018,FCS,Montana St.,Montana,RUSHING,Logan,Jones,ATT,8
11492010,11/17/2018,FCS,Montana St.,Montana,RUSHING,Logan,Jones,YDS,47
11492011,11/17/2018,FCS,Montana St.,Montana,RUSHING,Logan,Jones,TD,1
11492012,11/17/2018,FCS,Montana St.,Montana,RUSHING,Logan,Jones,LONG,13
11492013,11/17/2018,FCS,Montana St.,Montana,RUSHING,Karl,TuckerII,ATT,1
11492014,11/17/2018,FCS,Montana St.,Montana,RUSHING,Karl,TuckerII,YDS,11
11492015,11/17/2018,FCS,Montana St.,Montana,RUSHING,Karl,TuckerII,TD,0
11492016,11/17/2018,FCS,Montana St.,Montana,RUSHING,Karl,TuckerII,LONG,11
11492017,11/17/2018,FCS,Montana St.,Montana,RUSHING,Travis,Jonsen,ATT,1
11492018,11/17/2018,FCS,Montana St.,Montana,RUSHING,Travis,Jonsen,YDS,1
11492019,11/17/2018,FCS,Montana St.,Montana,RUSHING,Travis,Jonsen,TD,0
11492020,11/17/2018,FCS,Montana St.,Montana,RUSHING,Travis,Jonsen,LONG,1
11492021,11/17/2018,FCS,Montana St.,Montana,PASSING,Troy,Andersen,CP-ATT-INT,15-24-0
11492022,11/17/2018,FCS,Montana St.,Montana,PASSING,Troy,Andersen,YDS,158
11492023,11/17/2018,FCS,Montana St.,Montana,PASSING,Troy,Andersen,TD,0
11492024,11/17/2018,FCS,Montana St.,Montana,PASSING,Troy,Andersen,LONG,45
11492025,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Travis,Jonsen,REC,11
11492026,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Travis,Jonsen,YDS,101
11492027,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Travis,Jonsen,TD,0
11492028,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Travis,Jonsen,LONG,45
11492029,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Kevin,Kassis,REC,2
11492030,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Kevin,Kassis,YDS,24
11492031,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Kevin,Kassis,TD,0
11492032,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Kevin,Kassis,LONG,17
11492033,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Logan,Jones,REC,1
11492034,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Logan,Jones,YDS,23
11492035,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Logan,Jones,TD,0
11492036,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Logan,Jones,LONG,23
11492037,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Lance,McCutcheon,REC,1
11492038,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Lance,McCutcheon,YDS,10
11492039,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Lance,McCutcheon,TD,0
11492040,11/17/2018,FCS,Montana St.,Montana,RECEIVING,Lance,McCutcheon,LONG,10
11492041,11/17/2018,FCS,Montana St.,Montana,KICKING,Tristan,Bailey,FG-FGA,0/0
11492042,11/17/2018,FCS,Montana St.,Montana,KICKING,Tristan,Bailey,LONG,-
11492043,11/17/2018,FCS,Montana St.,Montana,KICKING,Tristan,Bailey,XP,3
11492044,11/17/2018,FCS,Montana St.,Montana,KICKING,Tristan,Bailey,PTS,3
11492045,11/17/2018,FCS,Montana St.,Montana,PUNTING,Jered,Padmos,NO,7
11492046,11/17/2018,FCS,Montana St.,Montana,PUNTING,Jered,Padmos,YDS,300
11492047,11/17/2018,FCS,Montana St.,Montana,PUNTING,Jered,Padmos,AVG,42.9
11492048,11/17/2018,FCS,Montana St.,Montana,PUNTING,Jered,Padmos,LONG,66
11492049,11/17/2018,FCS,Montana St.,Montana,PUNT RETURNS,Kevin,Kassis,NO,1
11492050,11/17/2018,FCS,Montana St.,Montana,PUNT RETURNS,Kevin,Kassis,YDS,-2
11492051,11/17/2018,FCS,Montana St.,Montana,PUNT RETURNS,Kevin,Kassis,AVG,-
11492052,11/17/2018,FCS,Montana St.,Montana,PUNT RETURNS,Kevin,Kassis,LONG,0
11492053,11/17/2018,FCS,Montana St.,Montana,KICK RETURNS,Logan,Jones,NO,1
11492054,11/17/2018,FCS,Montana St.,Montana,KICK RETURNS,Logan,Jones,YDS,73
11492055,11/17/2018,FCS,Montana St.,Montana,KICK RETURNS,Logan,Jones,AVG,73.0
11492056,11/17/2018,FCS,Montana St.,Montana,KICK RETURNS,Logan,Jones,LONG,73
11492057,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Derek,Marks,TOT,0
11492058,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Derek,Marks,SOLO,0
11492059,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Derek,Marks,SACKS,0.5
11492060,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Derek,Marks,TFL,0
11492061,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Derek,Marks,INT,0
11492062,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Derek,Marks,FF,0
11492063,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Derek,Marks,FR,1
11492064,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Tucker,Yates,TOT,7
11492065,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Tucker,Yates,SOLO,3
11492066,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Tucker,Yates,SACKS,1
11492067,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Tucker,Yates,TFL,1
11492068,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Tucker,Yates,INT,0
11492069,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Tucker,Yates,FF,1
11492070,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Tucker,Yates,FR,0
11492071,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Grant,Collins,TOT,12
11492072,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Grant,Collins,SOLO,3
11492073,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Grant,Collins,SACKS,0.5
11492074,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Grant,Collins,TFL,1
11492075,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Grant,Collins,INT,0
11492076,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Grant,Collins,FF,2
11492077,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Grant,Collins,FR,1
11492078,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Bryce,Sterk,TOT,7
11492079,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Bryce,Sterk,SOLO,4
11492080,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Bryce,Sterk,SACKS,2
11492081,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Bryce,Sterk,TFL,3
11492082,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Bryce,Sterk,INT,0
11492083,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Bryce,Sterk,FF,0
11492084,11/17/2018,FCS,Montana St.,Montana,DEFENSE,Bryce,Sterk,FR,0
