ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
11491001,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Lelon,Dillard,ATT,10
11491002,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Lelon,Dillard,YDS,48
11491003,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Lelon,Dillard,TD,0
11491004,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Lelon,Dillard,LONG,18
11491005,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Karris,Davis,ATT,7
11491006,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Karris,Davis,YDS,38
11491007,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Karris,Davis,TD,1
11491008,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Karris,Davis,LONG,28
11491009,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Tyler,Skidmore,ATT,8
11491010,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Tyler,Skidmore,YDS,31
11491011,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Tyler,Skidmore,TD,0
11491012,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Tyler,Skidmore,LONG,11
11491013,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Frank,HarrisIII,ATT,2
11491014,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Frank,HarrisIII,YDS,20
11491015,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Frank,HarrisIII,TD,0
11491016,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Frank,HarrisIII,LONG,11
11491017,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Lance,Lawson,ATT,4
11491018,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Lance,Lawson,YDS,19
11491019,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Lance,Lawson,TD,0
11491020,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Lance,Lawson,LONG,9
11491021,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Ty,Rutledge,ATT,2
11491022,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Ty,Rutledge,YDS,15
11491023,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Ty,Rutledge,TD,0
11491024,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Ty,Rutledge,LONG,12
11491025,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Jay,GreenJr.,ATT,5
11491026,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Jay,GreenJr.,YDS,14
11491027,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Jay,GreenJr.,TD,1
11491028,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Jay,GreenJr.,LONG,7
11491029,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Logan,Parker,ATT,1
11491030,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Logan,Parker,YDS,5
11491031,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Logan,Parker,TD,0
11491032,11/17/2018,FCS,Southern Utah,Cal Poly,RUSHING,Logan,Parker,LONG,5
11491033,11/17/2018,FCS,Southern Utah,Cal Poly,PASSING,Tyler,Skidmore,CP-ATT-INT,26-38-0
11491034,11/17/2018,FCS,Southern Utah,Cal Poly,PASSING,Tyler,Skidmore,YDS,260
11491035,11/17/2018,FCS,Southern Utah,Cal Poly,PASSING,Tyler,Skidmore,TD,1
11491036,11/17/2018,FCS,Southern Utah,Cal Poly,PASSING,Tyler,Skidmore,LONG,29
11491037,11/17/2018,FCS,Southern Utah,Cal Poly,RECEIVING,McCoy,Hill,REC,6
11491038,11/17/2018,FCS,Southern Utah,Cal Poly,RECEIVING,McCoy,Hill,YDS,61
11491039,11/17/2018,FCS,Southern Utah,Cal Poly,RECEIVING,McCoy,Hill,TD,1
11491040,11/17/2018,FCS,Southern Utah,Cal Poly,RECEIVING,McCoy,Hill,LONG,20
11491041,11/17/2018,FCS,Southern Utah,Cal Poly,RECEIVING,Alex,Croyle,REC,3
11491042,11/17/2018,FCS,Southern Utah,Cal Poly,RECEIVING,Alex,Croyle,YDS,51
11491043,11/17/2018,FCS,Southern Utah,Cal Poly,RECEIVING,Alex,Croyle,TD,0
11491044,11/17/2018,FCS,Southern Utah,Cal Poly,RECEIVING,Alex,Croyle,LONG,29
11491045,11/17/2018,FCS,Southern Utah,Cal Poly,RECEIVING,Logan,Parker,REC,3
11491046,11/17/2018,FCS,Southern Utah,Cal Poly,RECEIVING,Logan,Parker,YDS,43
11491047,11/17/2018,FCS,Southern Utah,Cal Poly,RECEIVING,Logan,Parker,TD,0
