ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
10809001,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Elijah,Ibitokun-Hanks,ATT,14
10809002,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Elijah,Ibitokun-Hanks,YDS,57
10809003,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Elijah,Ibitokun-Hanks,TD,0
10809004,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Elijah,Ibitokun-Hanks,LONG,23
10809005,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Karl,Mofor,ATT,7
10809006,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Karl,Mofor,YDS,22
10809007,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Karl,Mofor,TD,0
10809008,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Karl,Mofor,LONG,11
10809009,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Dev,Holmes,ATT,1
10809010,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Dev,Holmes,YDS,8
10809011,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Dev,Holmes,TD,0
10809012,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Dev,Holmes,LONG,8
10809013,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Jerah,Reeves,ATT,1
10809014,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Jerah,Reeves,YDS,6
10809015,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Jerah,Reeves,TD,0
10809016,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Jerah,Reeves,LONG,6
10809017,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Will,Brunson,ATT,1
10809018,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Will,Brunson,YDS,-2
10809019,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Will,Brunson,TD,0
10809020,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Will,Brunson,LONG,-2
10809021,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Vincent,Testaverde,ATT,4
10809022,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Vincent,Testaverde,YDS,-31
10809023,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Vincent,Testaverde,TD,0
10809024,9/1/2018,FCS,Albany (NY),Pittsburgh,RUSHING,Vincent,Testaverde,LONG,-3
10809025,9/1/2018,FCS,Albany (NY),Pittsburgh,PASSING,Vincent,Testaverde,CP-ATT-INT,18-29-2
10809026,9/1/2018,FCS,Albany (NY),Pittsburgh,PASSING,Vincent,Testaverde,YDS,263
10809027,9/1/2018,FCS,Albany (NY),Pittsburgh,PASSING,Vincent,Testaverde,TD,1
10809028,9/1/2018,FCS,Albany (NY),Pittsburgh,PASSING,Vincent,Testaverde,LONG,40
10809029,9/1/2018,FCS,Albany (NY),Pittsburgh,PASSING,Will,Brunson,CP-ATT-INT,0-0-0
10809030,9/1/2018,FCS,Albany (NY),Pittsburgh,PASSING,Will,Brunson,YDS,0
10809031,9/1/2018,FCS,Albany (NY),Pittsburgh,PASSING,Will,Brunson,TD,0
10809032,9/1/2018,FCS,Albany (NY),Pittsburgh,PASSING,Will,Brunson,LONG,0
10809033,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Dev,Holmes,REC,9
10809034,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Dev,Holmes,YDS,148
10809035,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Dev,Holmes,TD,1
10809036,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Dev,Holmes,LONG,40
10809037,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Jerah,Reeves,REC,3
10809038,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Jerah,Reeves,YDS,58
10809039,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Jerah,Reeves,TD,0
10809040,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Jerah,Reeves,LONG,37
10809041,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Elijah,Ibitokun-Hanks,REC,1
10809042,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Elijah,Ibitokun-Hanks,YDS,28
10809043,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Elijah,Ibitokun-Hanks,TD,0
10809044,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Elijah,Ibitokun-Hanks,LONG,28
10809045,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Donovan,McDonald,REC,4
10809046,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Donovan,McDonald,YDS,26
10809047,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Donovan,McDonald,TD,0
10809048,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Donovan,McDonald,LONG,12
10809049,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Karl,Mofor,REC,1
10809050,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Karl,Mofor,YDS,3
10809051,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Karl,Mofor,TD,0
10809052,9/1/2018,FCS,Albany (NY),Pittsburgh,RECEIVING,Karl,Mofor,LONG,3
10809053,9/1/2018,FCS,Albany (NY),Pittsburgh,KICKING,Ethan,Stark,FG-FGA,0/0
10809054,9/1/2018,FCS,Albany (NY),Pittsburgh,KICKING,Ethan,Stark,LONG,-
10809055,9/1/2018,FCS,Albany (NY),Pittsburgh,KICKING,Ethan,Stark,XP,1
10809056,9/1/2018,FCS,Albany (NY),Pittsburgh,KICKING,Ethan,Stark,PTS,1
10809057,9/1/2018,FCS,Albany (NY),Pittsburgh,PUNTING,Ethan,Stark,NO,5
10809058,9/1/2018,FCS,Albany (NY),Pittsburgh,PUNTING,Ethan,Stark,YDS,181
10809059,9/1/2018,FCS,Albany (NY),Pittsburgh,PUNTING,Ethan,Stark,AVG,36.2
10809060,9/1/2018,FCS,Albany (NY),Pittsburgh,PUNTING,Ethan,Stark,LONG,42
10809061,9/1/2018,FCS,Albany (NY),Pittsburgh,KICK RETURNS,Donovan,McDonald,NO,1
10809062,9/1/2018,FCS,Albany (NY),Pittsburgh,KICK RETURNS,Donovan,McDonald,YDS,21
10809063,9/1/2018,FCS,Albany (NY),Pittsburgh,KICK RETURNS,Donovan,McDonald,AVG,21.0
10809064,9/1/2018,FCS,Albany (NY),Pittsburgh,KICK RETURNS,Donovan,McDonald,LONG,21
10809065,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Roberto,Roena,TOT,2
10809066,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Roberto,Roena,SOLO,0
10809067,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Roberto,Roena,SACKS,0.0
10809068,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Roberto,Roena,TFL,0
10809069,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Roberto,Roena,INT,0
10809070,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Roberto,Roena,FF,0
10809071,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Roberto,Roena,FR,0
10809072,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Dean,Grogg,TOT,1
10809073,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Dean,Grogg,SOLO,1
10809074,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Dean,Grogg,SACKS,0.0
10809075,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Dean,Grogg,TFL,0
10809076,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Dean,Grogg,INT,0
10809077,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Dean,Grogg,FF,0
10809078,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Dean,Grogg,FR,0
10809079,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Griffin,TOT,3
10809080,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Griffin,SOLO,2
10809081,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Griffin,SACKS,0.0
10809082,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Griffin,TFL,0
10809083,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Griffin,INT,0
10809084,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Griffin,FF,0
10809085,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Griffin,FR,0
10809086,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Mazon,Walker,TOT,1
10809087,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Mazon,Walker,SOLO,0
10809088,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Mazon,Walker,SACKS,0.0
10809089,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Mazon,Walker,TFL,0
10809090,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Mazon,Walker,INT,0
10809091,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Mazon,Walker,FF,0
10809092,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Mazon,Walker,FR,0
10809093,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Brian,Dolce,TOT,2
10809094,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Brian,Dolce,SOLO,1
10809095,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Brian,Dolce,SACKS,0.0
10809096,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Brian,Dolce,TFL,0
10809097,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Brian,Dolce,INT,0
10809098,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Brian,Dolce,FF,0
10809099,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Brian,Dolce,FR,0
10809100,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Jack,Dudzinski,TOT,0
10809101,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Jack,Dudzinski,SOLO,0
10809102,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Jack,Dudzinski,SACKS,0.0
10809103,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Jack,Dudzinski,TFL,1
10809104,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Jack,Dudzinski,INT,0
10809105,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Jack,Dudzinski,FF,0
10809106,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Jack,Dudzinski,FR,0
10809107,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Dillon,TOT,1
10809108,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Dillon,SOLO,0
10809109,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Dillon,SACKS,0.0
10809110,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Dillon,TFL,0
10809111,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Dillon,INT,0
10809112,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Dillon,FF,0
10809113,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Nick,Dillon,FR,0
10809114,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Levi,Metheny,TOT,12
10809115,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Levi,Metheny,SOLO,12
10809116,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Levi,Metheny,SACKS,0.0
10809117,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Levi,Metheny,TFL,0
10809118,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Levi,Metheny,INT,0
10809119,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Levi,Metheny,FF,0
10809120,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Levi,Metheny,FR,0
10809121,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Danny,Damico,TOT,4
10809122,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Danny,Damico,SOLO,4
10809123,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Danny,Damico,SACKS,0.0
10809124,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Danny,Damico,TFL,0
10809125,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Danny,Damico,INT,0
10809126,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Danny,Damico,FF,0
10809127,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Danny,Damico,FR,0
10809128,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Isaiah,Watson,TOT,1
10809129,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Isaiah,Watson,SOLO,1
10809130,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Isaiah,Watson,SACKS,0.0
10809131,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Isaiah,Watson,TFL,0
10809132,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Isaiah,Watson,INT,0
10809133,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Isaiah,Watson,FF,0
10809134,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Isaiah,Watson,FR,0
10809135,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Hayden,Specht,TOT,2
10809136,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Hayden,Specht,SOLO,2
10809137,9/1/2018,FCS,Albany (NY),Pittsburgh,DEFENSE,Hayden,Specht,SACKS,0.0
