ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
10854001,9/1/2018,FCS,Elon,South Fla.,RUSHING,Jaylan,Thomas,ATT,9
10854002,9/1/2018,FCS,Elon,South Fla.,RUSHING,Jaylan,Thomas,YDS,87
10854003,9/1/2018,FCS,Elon,South Fla.,RUSHING,Jaylan,Thomas,TD,0
10854004,9/1/2018,FCS,Elon,South Fla.,RUSHING,Jaylan,Thomas,LONG,25
10854005,9/1/2018,FCS,Elon,South Fla.,RUSHING,Malcolm,Summers,ATT,15
10854006,9/1/2018,FCS,Elon,South Fla.,RUSHING,Malcolm,Summers,YDS,62
10854007,9/1/2018,FCS,Elon,South Fla.,RUSHING,Malcolm,Summers,TD,0
10854008,9/1/2018,FCS,Elon,South Fla.,RUSHING,Malcolm,Summers,LONG,22
10854009,9/1/2018,FCS,Elon,South Fla.,RUSHING,Brelynd,Cyphers,ATT,9
10854010,9/1/2018,FCS,Elon,South Fla.,RUSHING,Brelynd,Cyphers,YDS,33
10854011,9/1/2018,FCS,Elon,South Fla.,RUSHING,Brelynd,Cyphers,TD,1
10854012,9/1/2018,FCS,Elon,South Fla.,RUSHING,Brelynd,Cyphers,LONG,12
10854013,9/1/2018,FCS,Elon,South Fla.,RUSHING,De'Sean,McNair,ATT,7
10854014,9/1/2018,FCS,Elon,South Fla.,RUSHING,De'Sean,McNair,YDS,13
10854015,9/1/2018,FCS,Elon,South Fla.,RUSHING,De'Sean,McNair,TD,0
10854016,9/1/2018,FCS,Elon,South Fla.,RUSHING,De'Sean,McNair,LONG,4
10854017,9/1/2018,FCS,Elon,South Fla.,RUSHING,Jalen,Greene,ATT,4
10854018,9/1/2018,FCS,Elon,South Fla.,RUSHING,Jalen,Greene,YDS,7
10854019,9/1/2018,FCS,Elon,South Fla.,RUSHING,Jalen,Greene,TD,1
10854020,9/1/2018,FCS,Elon,South Fla.,RUSHING,Jalen,Greene,LONG,12
10854021,9/1/2018,FCS,Elon,South Fla.,RUSHING,Davis,Cheek,ATT,5
10854022,9/1/2018,FCS,Elon,South Fla.,RUSHING,Davis,Cheek,YDS,-10
10854023,9/1/2018,FCS,Elon,South Fla.,RUSHING,Davis,Cheek,TD,0
10854024,9/1/2018,FCS,Elon,South Fla.,RUSHING,Davis,Cheek,LONG,4
10854025,9/1/2018,FCS,Elon,South Fla.,PASSING,Davis,Cheek,CP-ATT-INT,5-11-2
10854026,9/1/2018,FCS,Elon,South Fla.,PASSING,Davis,Cheek,YDS,45
10854027,9/1/2018,FCS,Elon,South Fla.,PASSING,Davis,Cheek,TD,0
10854028,9/1/2018,FCS,Elon,South Fla.,PASSING,Davis,Cheek,LONG,14
10854029,9/1/2018,FCS,Elon,South Fla.,PASSING,Jalen,Greene,CP-ATT-INT,1-1-0
10854030,9/1/2018,FCS,Elon,South Fla.,PASSING,Jalen,Greene,YDS,-3
10854031,9/1/2018,FCS,Elon,South Fla.,PASSING,Jalen,Greene,TD,0
10854032,9/1/2018,FCS,Elon,South Fla.,PASSING,Jalen,Greene,LONG,-3
10854033,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Kortez,Weeks,REC,2
10854034,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Kortez,Weeks,YDS,24
10854035,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Kortez,Weeks,TD,0
10854036,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Kortez,Weeks,LONG,14
10854037,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Cole,Taylor,REC,1
10854038,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Cole,Taylor,YDS,7
10854039,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Cole,Taylor,TD,0
10854040,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Cole,Taylor,LONG,7
10854041,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Matt,Foster,REC,1
10854042,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Matt,Foster,YDS,7
10854043,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Matt,Foster,TD,0
10854044,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Matt,Foster,LONG,7
10854045,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Corey,Joyner,REC,1
10854046,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Corey,Joyner,YDS,7
10854047,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Corey,Joyner,TD,0
10854048,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Corey,Joyner,LONG,7
10854049,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Bryson,Daughtry,REC,1
10854050,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Bryson,Daughtry,YDS,-3
10854051,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Bryson,Daughtry,TD,0
10854052,9/1/2018,FCS,Elon,South Fla.,RECEIVING,Bryson,Daughtry,LONG,-3
10854053,9/1/2018,FCS,Elon,South Fla.,KICKING,Skyler,Davis,FG-FGA,0/0
10854054,9/1/2018,FCS,Elon,South Fla.,KICKING,Skyler,Davis,LONG,-
10854055,9/1/2018,FCS,Elon,South Fla.,KICKING,Skyler,Davis,XP,2
10854056,9/1/2018,FCS,Elon,South Fla.,KICKING,Skyler,Davis,PTS,2
10854057,9/1/2018,FCS,Elon,South Fla.,PUNTING,Hunter,Stephenson,NO,7
10854058,9/1/2018,FCS,Elon,South Fla.,PUNTING,Hunter,Stephenson,YDS,319
10854059,9/1/2018,FCS,Elon,South Fla.,PUNTING,Hunter,Stephenson,AVG,45.6
10854060,9/1/2018,FCS,Elon,South Fla.,PUNTING,Hunter,Stephenson,LONG,56
10854061,9/1/2018,FCS,Elon,South Fla.,PUNT RETURNS,Kortez,Weeks,NO,1
10854062,9/1/2018,FCS,Elon,South Fla.,PUNT RETURNS,Kortez,Weeks,YDS,1
10854063,9/1/2018,FCS,Elon,South Fla.,PUNT RETURNS,Kortez,Weeks,AVG,1.0
10854064,9/1/2018,FCS,Elon,South Fla.,PUNT RETURNS,Kortez,Weeks,LONG,1
10854065,9/1/2018,FCS,Elon,South Fla.,PUNT RETURNS,Adam,Chnupa,NO,0
10854066,9/1/2018,FCS,Elon,South Fla.,PUNT RETURNS,Adam,Chnupa,YDS,0
10854067,9/1/2018,FCS,Elon,South Fla.,PUNT RETURNS,Adam,Chnupa,AVG,-
10854068,9/1/2018,FCS,Elon,South Fla.,PUNT RETURNS,Adam,Chnupa,LONG,0
10854069,9/1/2018,FCS,Elon,South Fla.,KICK RETURNS,Tyler,Campbell,NO,3
10854070,9/1/2018,FCS,Elon,South Fla.,KICK RETURNS,Tyler,Campbell,YDS,58
10854071,9/1/2018,FCS,Elon,South Fla.,KICK RETURNS,Tyler,Campbell,AVG,19.3
10854072,9/1/2018,FCS,Elon,South Fla.,KICK RETURNS,Tyler,Campbell,LONG,30
10854073,9/1/2018,FCS,Elon,South Fla.,KICK RETURNS,Shamari,Wingard,NO,1
10854074,9/1/2018,FCS,Elon,South Fla.,KICK RETURNS,Shamari,Wingard,YDS,28
10854075,9/1/2018,FCS,Elon,South Fla.,KICK RETURNS,Shamari,Wingard,AVG,28.0
10854076,9/1/2018,FCS,Elon,South Fla.,KICK RETURNS,Shamari,Wingard,LONG,28
10854077,9/1/2018,FCS,Elon,South Fla.,KICK RETURNS,Daniel,Everett,NO,1
10854078,9/1/2018,FCS,Elon,South Fla.,KICK RETURNS,Daniel,Everett,YDS,17
10854079,9/1/2018,FCS,Elon,South Fla.,KICK RETURNS,Daniel,Everett,AVG,17.0
10854080,9/1/2018,FCS,Elon,South Fla.,KICK RETURNS,Daniel,Everett,LONG,17
10854081,9/1/2018,FCS,Elon,South Fla.,DEFENSE,Ryan,Whitehead,TOT,1
10854082,9/1/2018,FCS,Elon,South Fla.,DEFENSE,Ryan,Whitehead,SOLO,1
10854083,9/1/2018,FCS,Elon,South Fla.,DEFENSE,Ryan,Whitehead,SACKS,1.0
10854084,9/1/2018,FCS,Elon,South Fla.,DEFENSE,Ryan,Whitehead,TFL,1
