ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
10979001,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Rodney,Castille,ATT,8
10979002,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Rodney,Castille,YDS,58
10979003,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Rodney,Castille,TD,0
10979004,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Rodney,Castille,LONG,34
10979005,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,D.J.,Penick,ATT,7
10979006,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,D.J.,Penick,YDS,27
10979007,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,D.J.,Penick,TD,0
10979008,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,D.J.,Penick,LONG,16
10979009,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Preston,Rice,ATT,2
10979010,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Preston,Rice,YDS,25
10979011,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Preston,Rice,TD,1
10979012,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Preston,Rice,LONG,21
10979013,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Nolan,Nichols,ATT,3
10979014,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Nolan,Nichols,YDS,7
10979015,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Nolan,Nichols,TD,0
10979016,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Nolan,Nichols,LONG,4
10979017,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Jensen,Feggins,ATT,0
10979018,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Jensen,Feggins,YDS,4
10979019,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Jensen,Feggins,TD,0
10979020,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Jensen,Feggins,LONG,4
10979021,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Drew,Anderson,ATT,1
10979022,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Drew,Anderson,YDS,1
10979023,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Drew,Anderson,TD,0
10979024,9/15/2018,FCS,Murray St.,Kentucky,RUSHING,Drew,Anderson,LONG,1
10979025,9/15/2018,FCS,Murray St.,Kentucky,PASSING,Drew,Anderson,CP-ATT-INT,15-32-0
10979026,9/15/2018,FCS,Murray St.,Kentucky,PASSING,Drew,Anderson,YDS,118
10979027,9/15/2018,FCS,Murray St.,Kentucky,PASSING,Drew,Anderson,TD,0
10979028,9/15/2018,FCS,Murray St.,Kentucky,PASSING,Drew,Anderson,LONG,30
10979029,9/15/2018,FCS,Murray St.,Kentucky,PASSING,Preston,Rice,CP-ATT-INT,1-3-0
10979030,9/15/2018,FCS,Murray St.,Kentucky,PASSING,Preston,Rice,YDS,37
10979031,9/15/2018,FCS,Murray St.,Kentucky,PASSING,Preston,Rice,TD,0
10979032,9/15/2018,FCS,Murray St.,Kentucky,PASSING,Preston,Rice,LONG,37
10979033,9/15/2018,FCS,Murray St.,Kentucky,PASSING,Shuler,Bentley,CP-ATT-INT,4-6-1
10979034,9/15/2018,FCS,Murray St.,Kentucky,PASSING,Shuler,Bentley,YDS,25
10979035,9/15/2018,FCS,Murray St.,Kentucky,PASSING,Shuler,Bentley,TD,0
10979036,9/15/2018,FCS,Murray St.,Kentucky,PASSING,Shuler,Bentley,LONG,15
10979037,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Malik,Honeycutt,REC,4
10979038,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Malik,Honeycutt,YDS,76
10979039,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Malik,Honeycutt,TD,0
10979040,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Malik,Honeycutt,LONG,37
10979041,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Armani,Hayes,REC,4
10979042,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Armani,Hayes,YDS,35
10979043,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Armani,Hayes,TD,0
10979044,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Armani,Hayes,LONG,15
10979045,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Corey,Newble,REC,1
10979046,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Corey,Newble,YDS,30
10979047,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Corey,Newble,TD,0
10979048,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Corey,Newble,LONG,30
10979049,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Tyre,Gray,REC,3
10979050,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Tyre,Gray,YDS,14
10979051,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Tyre,Gray,TD,0
10979052,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Tyre,Gray,LONG,6
10979053,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,D.J.,Penick,REC,2
10979054,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,D.J.,Penick,YDS,8
10979055,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,D.J.,Penick,TD,0
10979056,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,D.J.,Penick,LONG,5
10979057,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Sylvaughn,Turner,REC,2
10979058,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Sylvaughn,Turner,YDS,7
10979059,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Sylvaughn,Turner,TD,0
10979060,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Sylvaughn,Turner,LONG,4
10979061,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Cameron,Garrett,REC,1
10979062,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Cameron,Garrett,YDS,4
10979063,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Cameron,Garrett,TD,0
10979064,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Cameron,Garrett,LONG,4
10979065,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Rodney,Castille,REC,2
10979066,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Rodney,Castille,YDS,3
10979067,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Rodney,Castille,TD,0
10979068,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Rodney,Castille,LONG,8
10979069,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Jonathan,Moss,REC,1
10979070,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Jonathan,Moss,YDS,3
10979071,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Jonathan,Moss,TD,0
10979072,9/15/2018,FCS,Murray St.,Kentucky,RECEIVING,Jonathan,Moss,LONG,3
10979073,9/15/2018,FCS,Murray St.,Kentucky,KICKING,Gabriel,Vicente,FG-FGA,1/1
10979074,9/15/2018,FCS,Murray St.,Kentucky,KICKING,Gabriel,Vicente,LONG,29
10979075,9/15/2018,FCS,Murray St.,Kentucky,KICKING,Gabriel,Vicente,XP,1
10979076,9/15/2018,FCS,Murray St.,Kentucky,KICKING,Gabriel,Vicente,PTS,4
10979077,9/15/2018,FCS,Murray St.,Kentucky,PUNTING,Steve,Dawson,NO,5
10979078,9/15/2018,FCS,Murray St.,Kentucky,PUNTING,Steve,Dawson,YDS,199
10979079,9/15/2018,FCS,Murray St.,Kentucky,PUNTING,Steve,Dawson,AVG,39.8
10979080,9/15/2018,FCS,Murray St.,Kentucky,PUNTING,Steve,Dawson,LONG,55
10979081,9/15/2018,FCS,Murray St.,Kentucky,PUNT RETURNS,Rodney,Castille,NO,1
10979082,9/15/2018,FCS,Murray St.,Kentucky,PUNT RETURNS,Rodney,Castille,YDS,0
10979083,9/15/2018,FCS,Murray St.,Kentucky,PUNT RETURNS,Rodney,Castille,AVG,-
10979084,9/15/2018,FCS,Murray St.,Kentucky,PUNT RETURNS,Rodney,Castille,LONG,0
10979085,9/15/2018,FCS,Murray St.,Kentucky,KICK RETURNS,DeQuan,Dallas,NO,1
10979086,9/15/2018,FCS,Murray St.,Kentucky,KICK RETURNS,DeQuan,Dallas,YDS,22
10979087,9/15/2018,FCS,Murray St.,Kentucky,KICK RETURNS,DeQuan,Dallas,AVG,22.0
10979088,9/15/2018,FCS,Murray St.,Kentucky,KICK RETURNS,DeQuan,Dallas,LONG,22
10979089,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Tyler,Stepney,TOT,1
10979090,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Tyler,Stepney,SOLO,1
10979091,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Tyler,Stepney,SACKS,0.0
10979092,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Tyler,Stepney,TFL,1
10979093,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Tyler,Stepney,INT,0
10979094,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Tyler,Stepney,FF,0
10979095,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Tyler,Stepney,FR,0
10979096,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Marquez,Sanford,TOT,1
10979097,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Marquez,Sanford,SOLO,1
10979098,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Marquez,Sanford,SACKS,0.0
10979099,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Marquez,Sanford,TFL,0
10979100,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Marquez,Sanford,INT,0
10979101,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Marquez,Sanford,FF,1
10979102,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Marquez,Sanford,FR,0
10979103,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Kenney,Wooten,TOT,1
10979104,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Kenney,Wooten,SOLO,1
10979105,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Kenney,Wooten,SACKS,1.0
10979106,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Kenney,Wooten,TFL,1
10979107,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Kenney,Wooten,INT,0
10979108,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Kenney,Wooten,FF,1
10979109,9/15/2018,FCS,Murray St.,Kentucky,DEFENSE,Kenney,Wooten,FR,0
10979110,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Terry,WilsonJr.,ATT,13
10979111,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Terry,WilsonJr.,YDS,80
10979112,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Terry,WilsonJr.,TD,1
10979113,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Terry,WilsonJr.,LONG,42
10979114,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Benjamin,SnellJr.,ATT,15
10979115,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Benjamin,SnellJr.,YDS,75
10979116,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Benjamin,SnellJr.,TD,1
10979117,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Benjamin,SnellJr.,LONG,17
10979118,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Christopher,RodriguezJr.,ATT,2
10979119,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Christopher,RodriguezJr.,YDS,43
10979120,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Christopher,RodriguezJr.,TD,0
10979121,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Christopher,RodriguezJr.,LONG,27
10979122,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Sihiem,King,ATT,6
10979123,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Sihiem,King,YDS,26
10979124,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Sihiem,King,TD,0
10979125,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Sihiem,King,LONG,11
10979126,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,A.J.,Rose,ATT,5
10979127,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,A.J.,Rose,YDS,19
10979128,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,A.J.,Rose,TD,1
10979129,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,A.J.,Rose,LONG,13
10979130,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Danny,Clark,ATT,1
10979131,9/15/2018,FCS,Kentucky,Murray St.,RUSHING,Danny,Clark,YDS,2
