ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
10885001,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Tallesin,Farmer,ATT,10
10885002,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Tallesin,Farmer,YDS,40
10885003,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Tallesin,Farmer,TD,0
10885004,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Tallesin,Farmer,LONG,22
10885005,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Ezra,Gray,ATT,3
10885006,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Ezra,Gray,YDS,17
10885007,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Ezra,Gray,TD,0
10885008,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Ezra,Gray,LONG,10
10885009,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Alex,Anderson,ATT,5
10885010,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Alex,Anderson,YDS,8
10885011,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Alex,Anderson,TD,0
10885012,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Alex,Anderson,LONG,3
10885013,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,C.J.,Leggett,ATT,3
10885014,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,C.J.,Leggett,YDS,8
10885015,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,C.J.,Leggett,TD,0
10885016,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,C.J.,Leggett,LONG,5
10885017,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Darryl,PearsonJr.,ATT,4
10885018,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Darryl,PearsonJr.,YDS,7
10885019,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Darryl,PearsonJr.,TD,0
10885020,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Darryl,PearsonJr.,LONG,6
10885021,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Gary,Cook,ATT,2
10885022,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Gary,Cook,YDS,3
10885023,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Gary,Cook,TD,0
10885024,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Gary,Cook,LONG,6
10885025,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,KHA'Darris,Davis,ATT,2
10885026,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,KHA'Darris,Davis,YDS,-14
10885027,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,KHA'Darris,Davis,TD,0
10885028,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,KHA'Darris,Davis,LONG,-1
10885029,9/8/2018,FCS,Alabama St.,Auburn,RUSHING,Dakota,Rocker,ATT,6
