ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
12068001,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Carlos,Blackman,ATT,11
12068002,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Carlos,Blackman,YDS,44
12068003,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Carlos,Blackman,TD,1
12068004,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Carlos,Blackman,LONG,14
12068005,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Cameron,Myers,ATT,3
12068006,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Cameron,Myers,YDS,14
12068007,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Cameron,Myers,TD,0
12068008,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Cameron,Myers,LONG,9
12068009,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Breylin,Smith,ATT,5
12068010,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Breylin,Smith,YDS,13
12068011,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Breylin,Smith,TD,0
12068012,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Breylin,Smith,LONG,10
12068013,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,D'erek,Fernandez,ATT,3
12068014,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,D'erek,Fernandez,YDS,12
12068015,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,D'erek,Fernandez,TD,0
12068016,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,D'erek,Fernandez,LONG,5
12068017,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Kierre,Crossley,ATT,5
12068018,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Kierre,Crossley,YDS,8
12068019,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Kierre,Crossley,TD,0
12068020,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Kierre,Crossley,LONG,5
12068021,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Christian,Richmond,ATT,1
12068022,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Christian,Richmond,YDS,0
12068023,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Christian,Richmond,TD,0
12068024,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,Christian,Richmond,LONG,0
12068025,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,,Team,ATT,1
12068026,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,,Team,YDS,-2
12068027,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,,Team,TD,0
12068028,10/19/2019,FCS,Central Ark.,Northwestern St.,RUSHING,,Team,LONG,0
12068029,10/19/2019,FCS,Central Ark.,Northwestern St.,PASSING,Breylin,Smith,CP-ATT-INT,30-43-2
12068030,10/19/2019,FCS,Central Ark.,Northwestern St.,PASSING,Breylin,Smith,YDS,299
12068031,10/19/2019,FCS,Central Ark.,Northwestern St.,PASSING,Breylin,Smith,TD,3
12068032,10/19/2019,FCS,Central Ark.,Northwestern St.,PASSING,Breylin,Smith,LONG,34
12068033,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Lujuan,Winningham,REC,9
12068034,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Lujuan,Winningham,YDS,168
12068035,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Lujuan,Winningham,TD,1
12068036,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Lujuan,Winningham,LONG,34
12068037,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Jarrod,Barnes,REC,5
12068038,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Jarrod,Barnes,YDS,27
12068039,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Jarrod,Barnes,TD,0
12068040,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Jarrod,Barnes,LONG,14
12068041,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Christian,Richmond,REC,1
12068042,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Christian,Richmond,YDS,27
12068043,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Christian,Richmond,TD,0
12068044,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Christian,Richmond,LONG,27
12068045,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Kierre,Crossley,REC,3
12068046,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Kierre,Crossley,YDS,23
12068047,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Kierre,Crossley,TD,0
12068048,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Kierre,Crossley,LONG,10
12068049,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Carlos,Blackman,REC,6
12068050,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Carlos,Blackman,YDS,18
12068051,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Carlos,Blackman,TD,1
12068052,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Carlos,Blackman,LONG,10
12068053,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Joshua,Nix,REC,3
12068054,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Joshua,Nix,YDS,13
12068055,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Joshua,Nix,TD,1
12068056,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Joshua,Nix,LONG,6
12068057,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Tyler,Hudson,REC,1
12068058,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Tyler,Hudson,YDS,13
12068059,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Tyler,Hudson,TD,0
12068060,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Tyler,Hudson,LONG,13
12068061,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Dwight,Blakey,REC,1
12068062,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Dwight,Blakey,YDS,6
12068063,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Dwight,Blakey,TD,0
12068064,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Dwight,Blakey,LONG,6
12068065,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Mitchell,Perkinson,REC,1
12068066,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Mitchell,Perkinson,YDS,4
12068067,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Mitchell,Perkinson,TD,0
12068068,10/19/2019,FCS,Central Ark.,Northwestern St.,RECEIVING,Mitchell,Perkinson,LONG,4
12068069,10/19/2019,FCS,Central Ark.,Northwestern St.,KICKING,Hayden,Ray,FG-FGA,1/2
12068070,10/19/2019,FCS,Central Ark.,Northwestern St.,KICKING,Hayden,Ray,LONG,28
12068071,10/19/2019,FCS,Central Ark.,Northwestern St.,KICKING,Hayden,Ray,XP,4
12068072,10/19/2019,FCS,Central Ark.,Northwestern St.,KICKING,Hayden,Ray,PTS,7
12068073,10/19/2019,FCS,Central Ark.,Northwestern St.,PUNTING,Taylor,Wallace,NO,5
12068074,10/19/2019,FCS,Central Ark.,Northwestern St.,PUNTING,Taylor,Wallace,YDS,162
12068075,10/19/2019,FCS,Central Ark.,Northwestern St.,PUNTING,Taylor,Wallace,AVG,32.4
12068076,10/19/2019,FCS,Central Ark.,Northwestern St.,PUNTING,Taylor,Wallace,LONG,38
12068077,10/19/2019,FCS,Central Ark.,Northwestern St.,PUNT RETURNS,Tyler,Hudson,NO,3
12068078,10/19/2019,FCS,Central Ark.,Northwestern St.,PUNT RETURNS,Tyler,Hudson,YDS,21
12068079,10/19/2019,FCS,Central Ark.,Northwestern St.,PUNT RETURNS,Tyler,Hudson,AVG,7.0
12068080,10/19/2019,FCS,Central Ark.,Northwestern St.,PUNT RETURNS,Tyler,Hudson,LONG,26
12068081,10/19/2019,FCS,Central Ark.,Northwestern St.,KICK RETURNS,Cameron,Myers,NO,4
12068082,10/19/2019,FCS,Central Ark.,Northwestern St.,KICK RETURNS,Cameron,Myers,YDS,103
12068083,10/19/2019,FCS,Central Ark.,Northwestern St.,KICK RETURNS,Cameron,Myers,AVG,25.8
12068084,10/19/2019,FCS,Central Ark.,Northwestern St.,KICK RETURNS,Cameron,Myers,LONG,30
12068085,10/19/2019,FCS,Central Ark.,Northwestern St.,DEFENSE,J.W.,Jones,TOT,0
12068086,10/19/2019,FCS,Central Ark.,Northwestern St.,DEFENSE,J.W.,Jones,SOLO,0
