ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
12118001,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Devin,Wynn,ATT,16
12118002,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Devin,Wynn,YDS,87
12118003,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Devin,Wynn,TD,2
12118004,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Devin,Wynn,LONG,19
12118005,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Corey,Watkins,ATT,7
12118006,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Corey,Watkins,YDS,72
12118007,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Corey,Watkins,TD,0
12118008,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Corey,Watkins,LONG,25
12118009,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Devin,Abrams,ATT,5
12118010,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Devin,Abrams,YDS,62
12118011,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Devin,Abrams,TD,0
12118012,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Devin,Abrams,LONG,52
12118013,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Darren,Grainger,ATT,11
12118014,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Darren,Grainger,YDS,52
12118015,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Darren,Grainger,TD,0
12118016,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Darren,Grainger,LONG,16
12118017,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Wayne,"Anderson,Jr.",ATT,4
12118018,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Wayne,"Anderson,Jr.",YDS,16
12118019,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Wayne,"Anderson,Jr.",TD,0
12118020,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Wayne,"Anderson,Jr.",LONG,11
12118021,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Dominic,Roberto,ATT,2
12118022,10/26/2019,FCS,Furman,Western Caro.,RUSHING,Dominic,Roberto,YDS,6
