ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
12123001,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Ty,Flanagan,ATT,16
12123002,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Ty,Flanagan,YDS,112
12123003,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Ty,Flanagan,TD,2
12123004,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Ty,Flanagan,LONG,54
12123005,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Malakai,Rango,ATT,20
12123006,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Malakai,Rango,YDS,105
12123007,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Malakai,Rango,TD,0
12123008,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Malakai,Rango,LONG,28
12123009,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Matt,Struck,ATT,5
12123010,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Matt,Struck,YDS,11
12123011,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Matt,Struck,TD,0
12123012,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Matt,Struck,LONG,8
12123013,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Kevin,Ryan,ATT,1
12123014,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Kevin,Ryan,YDS,2
12123015,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Kevin,Ryan,TD,0
12123016,10/26/2019,FCS,Idaho St.,Southern Utah,RUSHING,Kevin,Ryan,LONG,2
12123017,10/26/2019,FCS,Idaho St.,Southern Utah,PASSING,Matt,Struck,CP-ATT-INT,14-28-3
12123018,10/26/2019,FCS,Idaho St.,Southern Utah,PASSING,Matt,Struck,YDS,171
12123019,10/26/2019,FCS,Idaho St.,Southern Utah,PASSING,Matt,Struck,TD,2
12123020,10/26/2019,FCS,Idaho St.,Southern Utah,PASSING,Matt,Struck,LONG,32
12123021,10/26/2019,FCS,Idaho St.,Southern Utah,PASSING,Michael,Dean,CP-ATT-INT,1-1-0
12123022,10/26/2019,FCS,Idaho St.,Southern Utah,PASSING,Michael,Dean,YDS,19
12123023,10/26/2019,FCS,Idaho St.,Southern Utah,PASSING,Michael,Dean,TD,0
12123024,10/26/2019,FCS,Idaho St.,Southern Utah,PASSING,Michael,Dean,LONG,19
12123025,10/26/2019,FCS,Idaho St.,Southern Utah,RECEIVING,Tanner,Conner,REC,5
