ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
12257001,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Rashawn,Allen,ATT,27
12257002,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Rashawn,Allen,YDS,113
12257003,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Rashawn,Allen,TD,0
12257004,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Rashawn,Allen,LONG,16
12257005,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Alec,Beesmer,ATT,15
12257006,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Alec,Beesmer,YDS,27
12257007,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Alec,Beesmer,TD,0
12257008,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Alec,Beesmer,LONG,14
12257009,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Addison,Shoup,ATT,1
12257010,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Addison,Shoup,YDS,10
12257011,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Addison,Shoup,TD,0
12257012,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Addison,Shoup,LONG,10
12257013,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Peter,Lucas,ATT,1
12257014,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Peter,Lucas,YDS,1
12257015,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Peter,Lucas,TD,0
12257016,11/16/2019,FCS,Lehigh,Sacred Heart,RUSHING,Peter,Lucas,LONG,1
12257017,11/16/2019,FCS,Lehigh,Sacred Heart,PASSING,Alec,Beesmer,CP-ATT-INT,8-29-0
12257018,11/16/2019,FCS,Lehigh,Sacred Heart,PASSING,Alec,Beesmer,YDS,107
12257019,11/16/2019,FCS,Lehigh,Sacred Heart,PASSING,Alec,Beesmer,TD,0
12257020,11/16/2019,FCS,Lehigh,Sacred Heart,PASSING,Alec,Beesmer,LONG,34
12257021,11/16/2019,FCS,Lehigh,Sacred Heart,PASSING,Addison,Shoup,CP-ATT-INT,1-1-0
12257022,11/16/2019,FCS,Lehigh,Sacred Heart,PASSING,Addison,Shoup,YDS,1
12257023,11/16/2019,FCS,Lehigh,Sacred Heart,PASSING,Addison,Shoup,TD,0
12257024,11/16/2019,FCS,Lehigh,Sacred Heart,PASSING,Addison,Shoup,LONG,1
12257025,11/16/2019,FCS,Lehigh,Sacred Heart,RECEIVING,Devon,Bibbens,REC,2
12257026,11/16/2019,FCS,Lehigh,Sacred Heart,RECEIVING,Devon,Bibbens,YDS,35
12257027,11/16/2019,FCS,Lehigh,Sacred Heart,RECEIVING,Devon,Bibbens,TD,0
12257028,11/16/2019,FCS,Lehigh,Sacred Heart,RECEIVING,Devon,Bibbens,LONG,26
12257029,11/16/2019,FCS,Lehigh,Sacred Heart,RECEIVING,Alex,Snyder,REC,2
12257030,11/16/2019,FCS,Lehigh,Sacred Heart,RECEIVING,Alex,Snyder,YDS,35
12257031,11/16/2019,FCS,Lehigh,Sacred Heart,RECEIVING,Alex,Snyder,TD,0
12257032,11/16/2019,FCS,Lehigh,Sacred Heart,RECEIVING,Alex,Snyder,LONG,34
12257033,11/16/2019,FCS,Lehigh,Sacred Heart,RECEIVING,Jorge,Portorreal,REC,2
12257034,11/16/2019,FCS,Lehigh,Sacred Heart,RECEIVING,Jorge,Portorreal,YDS,18
12257035,11/16/2019,FCS,Lehigh,Sacred Heart,RECEIVING,Jorge,Portorreal,TD,0
12257036,11/16/2019,FCS,Lehigh,Sacred Heart,RECEIVING,Jorge,Portorreal,LONG,12
