ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
12289001,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,D.J.,Davis,ATT,31
12289002,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,D.J.,Davis,YDS,207
12289003,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,D.J.,Davis,TD,2
12289004,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,D.J.,Davis,LONG,53
12289005,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Javon,WilliamsJr.,ATT,19
12289006,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Javon,WilliamsJr.,YDS,149
12289007,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Javon,WilliamsJr.,TD,3
12289008,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Javon,WilliamsJr.,LONG,35
12289009,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Avante,Cox,ATT,3
12289010,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Avante,Cox,YDS,23
12289011,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Avante,Cox,TD,1
12289012,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Avante,Cox,LONG,9
12289013,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Kare,Lyles,ATT,8
12289014,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Kare,Lyles,YDS,15
12289015,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Kare,Lyles,TD,0
12289016,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Kare,Lyles,LONG,12
12289017,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,,Team,ATT,2
12289018,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,,Team,YDS,-2
12289019,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,,Team,TD,0
12289020,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,,Team,LONG,0
12289021,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Sam,Bonansinga,ATT,1
12289022,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Sam,Bonansinga,YDS,-4
12289023,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Sam,Bonansinga,TD,0
12289024,11/16/2019,FCS,Southern Ill.,Western Ill.,RUSHING,Sam,Bonansinga,LONG,-4
12289025,11/16/2019,FCS,Southern Ill.,Western Ill.,PASSING,Kare,Lyles,CP-ATT-INT,12-18-1
12289026,11/16/2019,FCS,Southern Ill.,Western Ill.,PASSING,Kare,Lyles,YDS,144
12289027,11/16/2019,FCS,Southern Ill.,Western Ill.,PASSING,Kare,Lyles,TD,0
12289028,11/16/2019,FCS,Southern Ill.,Western Ill.,PASSING,Kare,Lyles,LONG,28
12289029,11/16/2019,FCS,Southern Ill.,Western Ill.,PASSING,Javon,WilliamsJr.,CP-ATT-INT,2-2-0
12289030,11/16/2019,FCS,Southern Ill.,Western Ill.,PASSING,Javon,WilliamsJr.,YDS,48
12289031,11/16/2019,FCS,Southern Ill.,Western Ill.,PASSING,Javon,WilliamsJr.,TD,0
12289032,11/16/2019,FCS,Southern Ill.,Western Ill.,PASSING,Javon,WilliamsJr.,LONG,32
12289033,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Landon,Lenoir,REC,5
12289034,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Landon,Lenoir,YDS,114
12289035,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Landon,Lenoir,TD,0
12289036,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Landon,Lenoir,LONG,32
12289037,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Avante,Cox,REC,6
12289038,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Avante,Cox,YDS,53
12289039,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Avante,Cox,TD,0
12289040,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Avante,Cox,LONG,20
12289041,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Nigel,Kilby,REC,1
12289042,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Nigel,Kilby,YDS,16
12289043,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Nigel,Kilby,TD,0
12289044,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Nigel,Kilby,LONG,16
12289045,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Javon,WilliamsJr.,REC,1
12289046,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Javon,WilliamsJr.,YDS,6
12289047,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Javon,WilliamsJr.,TD,0
12289048,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,Javon,WilliamsJr.,LONG,6
12289049,11/16/2019,FCS,Southern Ill.,Western Ill.,RECEIVING,D.J.,Davis,REC,1
