ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
12301001,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Ladarius,Skelton,ATT,21
12301002,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Ladarius,Skelton,YDS,171
12301003,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Ladarius,Skelton,TD,3
12301004,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Ladarius,Skelton,LONG,29
12301005,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Devon,Benn,ATT,9
12301006,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Devon,Benn,YDS,51
12301007,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Devon,Benn,TD,0
12301008,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Devon,Benn,LONG,9
12301009,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Jamar,Washington,ATT,2
12301010,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Jamar,Washington,YDS,20
12301011,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Jamar,Washington,TD,0
12301012,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Jamar,Washington,LONG,11
12301013,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Jarod,Sims,ATT,2
12301014,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Jarod,Sims,YDS,13
12301015,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Jarod,Sims,TD,0
12301016,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Jarod,Sims,LONG,9
12301017,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Christopher,Chaney,ATT,2
12301018,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Christopher,Chaney,YDS,6
12301019,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Christopher,Chaney,TD,0
12301020,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Christopher,Chaney,LONG,5
12301021,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Craig,Nelson,ATT,2
12301022,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Craig,Nelson,YDS,5
12301023,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Craig,Nelson,TD,0
12301024,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,Craig,Nelson,LONG,4
12301025,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,,Team,ATT,2
12301026,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,,Team,YDS,-2
12301027,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,,Team,TD,0
12301028,11/16/2019,FCS,Southern U.,Jackson St.,RUSHING,,Team,LONG,0
12301029,11/16/2019,FCS,Southern U.,Jackson St.,PASSING,Ladarius,Skelton,CP-ATT-INT,12-23-1
12301030,11/16/2019,FCS,Southern U.,Jackson St.,PASSING,Ladarius,Skelton,YDS,133
12301031,11/16/2019,FCS,Southern U.,Jackson St.,PASSING,Ladarius,Skelton,TD,1
