ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
11859001,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Akevious,Williams,ATT,16
11859002,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Akevious,Williams,YDS,101
11859003,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Akevious,Williams,TD,3
11859004,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Akevious,Williams,LONG,30
11859005,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Que'Shaun,Byrd,ATT,8
11859006,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Que'Shaun,Byrd,YDS,43
11859007,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Que'Shaun,Byrd,TD,1
11859008,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Que'Shaun,Byrd,LONG,13
11859009,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Isaac,Washington,ATT,12
11859010,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Isaac,Washington,YDS,32
11859011,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Isaac,Washington,TD,1
11859012,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Isaac,Washington,LONG,5
11859013,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Sam,Marc,ATT,1
11859014,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Sam,Marc,YDS,20
11859015,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Sam,Marc,TD,0
11859016,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Sam,Marc,LONG,20
11859017,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Jimmie,Robinson,ATT,5
11859018,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Jimmie,Robinson,YDS,5
11859019,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Jimmie,Robinson,TD,0
11859020,9/28/2019,FCS,Bethune-Cookman,Howard,RUSHING,Jimmie,Robinson,LONG,10
11859021,9/28/2019,FCS,Bethune-Cookman,Howard,PASSING,Akevious,Williams,CP-ATT-INT,16-23-0
11859022,9/28/2019,FCS,Bethune-Cookman,Howard,PASSING,Akevious,Williams,YDS,199
11859023,9/28/2019,FCS,Bethune-Cookman,Howard,PASSING,Akevious,Williams,TD,0
11859024,9/28/2019,FCS,Bethune-Cookman,Howard,PASSING,Akevious,Williams,LONG,44
11859025,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Jimmie,Robinson,REC,4
11859026,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Jimmie,Robinson,YDS,55
11859027,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Jimmie,Robinson,TD,0
11859028,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Jimmie,Robinson,LONG,32
11859029,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Marcus,Riley,REC,1
11859030,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Marcus,Riley,YDS,44
11859031,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Marcus,Riley,TD,0
11859032,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Marcus,Riley,LONG,44
11859033,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Que'Shaun,Byrd,REC,1
11859034,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Que'Shaun,Byrd,YDS,40
11859035,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Que'Shaun,Byrd,TD,0
11859036,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Que'Shaun,Byrd,LONG,40
11859037,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Taron,Mallard,REC,4
11859038,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Taron,Mallard,YDS,37
11859039,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Taron,Mallard,TD,0
11859040,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Taron,Mallard,LONG,15
11859041,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Tyrese,Spain,REC,2
11859042,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Tyrese,Spain,YDS,9
11859043,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Tyrese,Spain,TD,0
11859044,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Tyrese,Spain,LONG,6
11859045,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Kaelin,Humphrey,REC,1
11859046,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Kaelin,Humphrey,YDS,8
11859047,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Kaelin,Humphrey,TD,0
11859048,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Kaelin,Humphrey,LONG,8
11859049,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Isaac,Washington,REC,1
11859050,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Isaac,Washington,YDS,6
11859051,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Isaac,Washington,TD,0
11859052,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Isaac,Washington,LONG,6
11859053,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Javon,Bonsell,REC,1
11859054,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Javon,Bonsell,YDS,0
11859055,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Javon,Bonsell,TD,0
11859056,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Javon,Bonsell,LONG,0
11859057,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Darryl,PowellJr.,REC,1
11859058,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Darryl,PowellJr.,YDS,0
11859059,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Darryl,PowellJr.,TD,0
11859060,9/28/2019,FCS,Bethune-Cookman,Howard,RECEIVING,Darryl,PowellJr.,LONG,0
11859061,9/28/2019,FCS,Bethune-Cookman,Howard,KICKING,Xavier,McDonald,FG-FGA,1/1
11859062,9/28/2019,FCS,Bethune-Cookman,Howard,KICKING,Xavier,McDonald,LONG,27
11859063,9/28/2019,FCS,Bethune-Cookman,Howard,KICKING,Xavier,McDonald,XP,4
