ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
11656001,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Carlos,Blackman,ATT,16
11656002,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Carlos,Blackman,YDS,39
11656003,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Carlos,Blackman,TD,0
11656004,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Carlos,Blackman,LONG,9
11656005,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Christian,Richmond,ATT,1
11656006,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Christian,Richmond,YDS,2
11656007,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Christian,Richmond,TD,0
11656008,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Christian,Richmond,LONG,2
11656009,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Breylin,Smith,ATT,6
11656010,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Breylin,Smith,YDS,0
11656011,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Breylin,Smith,TD,0
11656012,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Breylin,Smith,LONG,10
11656013,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,,Team,ATT,1
11656014,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,,Team,YDS,-3
11656015,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,,Team,TD,0
11656016,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,,Team,LONG,0
11656017,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Kierre,Crossley,ATT,6
11656018,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Kierre,Crossley,YDS,-6
11656019,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Kierre,Crossley,TD,0
11656020,9/7/2019,FCS,Central Ark.,Austin Peay,RUSHING,Kierre,Crossley,LONG,5
11656021,9/7/2019,FCS,Central Ark.,Austin Peay,PASSING,Breylin,Smith,CP-ATT-INT,19-30-0
11656022,9/7/2019,FCS,Central Ark.,Austin Peay,PASSING,Breylin,Smith,YDS,283
11656023,9/7/2019,FCS,Central Ark.,Austin Peay,PASSING,Breylin,Smith,TD,3
11656024,9/7/2019,FCS,Central Ark.,Austin Peay,PASSING,Breylin,Smith,LONG,43
11656025,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Lujuan,Winningham,REC,8
11656026,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Lujuan,Winningham,YDS,136
11656027,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Lujuan,Winningham,TD,2
11656028,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Lujuan,Winningham,LONG,43
11656029,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Tyler,Hudson,REC,4
11656030,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Tyler,Hudson,YDS,120
11656031,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Tyler,Hudson,TD,1
11656032,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Tyler,Hudson,LONG,37
11656033,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Carlos,Blackman,REC,4
11656034,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Carlos,Blackman,YDS,23
11656035,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Carlos,Blackman,TD,0
11656036,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Carlos,Blackman,LONG,19
11656037,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Dwight,Blakey,REC,2
11656038,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Dwight,Blakey,YDS,3
11656039,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Dwight,Blakey,TD,0
11656040,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Dwight,Blakey,LONG,3
11656041,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Kierre,Crossley,REC,1
11656042,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Kierre,Crossley,YDS,1
11656043,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Kierre,Crossley,TD,0
11656044,9/7/2019,FCS,Central Ark.,Austin Peay,RECEIVING,Kierre,Crossley,LONG,1
11656045,9/7/2019,FCS,Central Ark.,Austin Peay,KICKING,Hayden,Ray,FG-FGA,1/1
11656046,9/7/2019,FCS,Central Ark.,Austin Peay,KICKING,Hayden,Ray,LONG,25
11656047,9/7/2019,FCS,Central Ark.,Austin Peay,KICKING,Hayden,Ray,XP,3
11656048,9/7/2019,FCS,Central Ark.,Austin Peay,KICKING,Hayden,Ray,PTS,6
11656049,9/7/2019,FCS,Central Ark.,Austin Peay,PUNTING,Taylor,Wallace,NO,9
11656050,9/7/2019,FCS,Central Ark.,Austin Peay,PUNTING,Taylor,Wallace,YDS,364
11656051,9/7/2019,FCS,Central Ark.,Austin Peay,PUNTING,Taylor,Wallace,AVG,40.4
11656052,9/7/2019,FCS,Central Ark.,Austin Peay,PUNTING,Taylor,Wallace,LONG,47
11656053,9/7/2019,FCS,Central Ark.,Austin Peay,PUNT RETURNS,Tyler,Hudson,NO,1
11656054,9/7/2019,FCS,Central Ark.,Austin Peay,PUNT RETURNS,Tyler,Hudson,YDS,-5
11656055,9/7/2019,FCS,Central Ark.,Austin Peay,PUNT RETURNS,Tyler,Hudson,AVG,-
11656056,9/7/2019,FCS,Central Ark.,Austin Peay,PUNT RETURNS,Tyler,Hudson,LONG,0
11656057,9/7/2019,FCS,Central Ark.,Austin Peay,KICK RETURNS,Cameron,Myers,NO,3
11656058,9/7/2019,FCS,Central Ark.,Austin Peay,KICK RETURNS,Cameron,Myers,YDS,41
11656059,9/7/2019,FCS,Central Ark.,Austin Peay,KICK RETURNS,Cameron,Myers,AVG,13.7
11656060,9/7/2019,FCS,Central Ark.,Austin Peay,KICK RETURNS,Cameron,Myers,LONG,25
11656061,9/7/2019,FCS,Central Ark.,Austin Peay,KICK RETURNS,Justin,Meadows,NO,1
11656062,9/7/2019,FCS,Central Ark.,Austin Peay,KICK RETURNS,Justin,Meadows,YDS,18
11656063,9/7/2019,FCS,Central Ark.,Austin Peay,KICK RETURNS,Justin,Meadows,AVG,18.0
11656064,9/7/2019,FCS,Central Ark.,Austin Peay,KICK RETURNS,Justin,Meadows,LONG,18
11656065,9/7/2019,FCS,Central Ark.,Austin Peay,KICK RETURNS,Juan,Jackson,NO,1
11656066,9/7/2019,FCS,Central Ark.,Austin Peay,KICK RETURNS,Juan,Jackson,YDS,10
11656067,9/7/2019,FCS,Central Ark.,Austin Peay,KICK RETURNS,Juan,Jackson,AVG,10.0
11656068,9/7/2019,FCS,Central Ark.,Austin Peay,KICK RETURNS,Juan,Jackson,LONG,10
11656069,9/7/2019,FCS,Central Ark.,Austin Peay,DEFENSE,Hunter,Toomey,TOT,0
11656070,9/7/2019,FCS,Central Ark.,Austin Peay,DEFENSE,Hunter,Toomey,SOLO,0
11656071,9/7/2019,FCS,Central Ark.,Austin Peay,DEFENSE,Hunter,Toomey,SACKS,0
11656072,9/7/2019,FCS,Central Ark.,Austin Peay,DEFENSE,Hunter,Toomey,TFL,0
11656073,9/7/2019,FCS,Central Ark.,Austin Peay,DEFENSE,Hunter,Toomey,INT,1
11656074,9/7/2019,FCS,Central Ark.,Austin Peay,DEFENSE,Hunter,Toomey,FF,1
11656075,9/7/2019,FCS,Central Ark.,Austin Peay,DEFENSE,Hunter,Toomey,FR,0
11656076,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,JaVaughn,Craig,ATT,11
11656077,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,JaVaughn,Craig,YDS,63
11656078,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,JaVaughn,Craig,TD,0
11656079,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,JaVaughn,Craig,LONG,13
11656080,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Kentel,Williams,ATT,19
11656081,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Kentel,Williams,YDS,52
11656082,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Kentel,Williams,TD,0
11656083,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Kentel,Williams,LONG,16
11656084,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Ahmaad,Tanner,ATT,5
11656085,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Ahmaad,Tanner,YDS,28
11656086,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Ahmaad,Tanner,TD,0
11656087,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Ahmaad,Tanner,LONG,18
11656088,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Jay,Parker,ATT,1
11656089,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Jay,Parker,YDS,4
11656090,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Jay,Parker,TD,0
11656091,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Jay,Parker,LONG,4
11656092,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Jeremiah,Oatsvall,ATT,1
11656093,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Jeremiah,Oatsvall,YDS,-2
11656094,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Jeremiah,Oatsvall,TD,0
11656095,9/7/2019,FCS,Austin Peay,Central Ark.,RUSHING,Jeremiah,Oatsvall,LONG,0
